date,symbol,open,high,low,close,volume,adjusted,divd,split,source,recordDate
2000-01-03,AZN.ST,353.0,356.5,346.0,347.5,747184,278.3325999798317,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-01-04,AZN.ST,346.0,348.0,333.5,336.5,2738295,269.52207163514635,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-01-05,AZN.ST,336.5,336.5,336.5,336.5,0,269.52207163514635,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-01-06,AZN.ST,336.5,336.5,336.5,336.5,0,269.52207163514635,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-01-07,AZN.ST,332.0,341.0,330.0,340.5,2082839,272.72590012412286,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-01-10,AZN.ST,347.0,355.0,345.5,352.0,2875617,281.93690702993024,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-01-11,AZN.ST,350.0,353.0,342.0,351.0,2226837,281.1359499076861,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-01-12,AZN.ST,345.0,349.5,343.0,346.0,1962861,277.1311642964655,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-01-13,AZN.ST,345.0,349.0,344.5,345.5,1805444,276.73068573534346,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-01-14,AZN.ST,349.5,354.0,346.5,351.5,2724888,281.5364284688082,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-01-17,AZN.ST,340.0,351.0,340.0,349.0,1403081,279.53403566319787,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-01-18,AZN.ST,348.5,349.0,338.5,339.0,2050621,271.5244644407567,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-01-19,AZN.ST,338.0,338.5,330.5,332.5,3595794,266.3182431461699,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-01-20,AZN.ST,337.0,341.5,328.5,328.5,3215871,263.11441465719344,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-01-21,AZN.ST,328.0,334.5,325.5,328.5,2249806,263.11441465719344,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-01-24,AZN.ST,334.5,335.0,323.5,325.5,1932685,260.71154329046107,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-01-25,AZN.ST,316.0,323.0,316.0,322.5,4218969,258.3086719237287,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-01-26,AZN.ST,322.5,328.0,322.5,327.0,1181887,261.91297897382725,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-01-27,AZN.ST,330.0,336.0,329.5,336.0,1672011,269.1215930740243,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-01-28,AZN.ST,338.0,338.5,322.0,327.5,1451344,262.3134575349493,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-01-31,AZN.ST,328.0,329.5,323.0,325.5,1270780,260.71154329046107,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-02-01,AZN.ST,330.5,332.0,319.0,320.5,2582200,256.70675767924047,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-02-02,AZN.ST,322.0,327.0,321.0,325.0,1592457,260.31106472933897,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-02-03,AZN.ST,326.5,331.5,321.0,325.0,3854552,260.31106472933897,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-02-04,AZN.ST,323.0,323.0,311.0,311.0,2812985,249.09766501792132,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-02-07,AZN.ST,309.0,312.0,299.5,302.0,3041983,241.88905091772423,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-02-08,AZN.ST,305.0,315.0,305.0,308.5,1975812,247.09527221231102,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-02-09,AZN.ST,315.0,323.5,313.5,317.0,2499797,253.90340775138603,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-02-10,AZN.ST,315.0,324.5,315.0,324.0,2687558,259.5101076070949,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-02-11,AZN.ST,320.0,320.0,304.0,307.0,1593297,245.89383652894483,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-02-14,AZN.ST,303.0,306.0,296.0,296.0,2043611,237.08330818425952,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-02-15,AZN.ST,297.5,308.5,295.5,302.0,2488548,241.88905091772423,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-02-16,AZN.ST,308.0,310.5,301.0,303.0,2268745,242.69000803996835,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-02-17,AZN.ST,305.5,306.5,302.5,303.5,1797004,243.09048660109042,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-02-18,AZN.ST,307.5,309.0,299.0,306.5,1759910,245.49335796782276,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-02-21,AZN.ST,297.0,300.0,296.0,298.0,1034953,238.68522242874775,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-02-22,AZN.ST,300.0,302.0,292.5,294.0,2795591,235.48139393977127,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-02-23,AZN.ST,300.0,300.0,293.0,297.0,2094495,237.88426530650364,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-02-24,AZN.ST,295.0,295.0,266.0,274.0,6462648,219.46225149488887,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-02-25,AZN.ST,275.0,295.5,272.0,295.5,4259783,236.68282962313745,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-02-28,AZN.ST,295.0,301.5,293.0,295.0,1052857,236.28235106201538,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-02-29,AZN.ST,299.0,299.0,287.0,290.5,1244770,232.67804401191685,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-03-01,AZN.ST,292.0,298.5,290.5,298.5,2195762,239.08570098986982,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-03-02,AZN.ST,298.0,309.5,296.0,309.0,1855512,247.49575077343306,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-03-03,AZN.ST,310.0,310.0,304.0,305.0,1130017,244.2919222844566,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-03-06,AZN.ST,305.0,308.5,303.0,308.0,2302241,246.9303895310366,0.291,1.0,yahoo,2024-06-23 23:05:15
2000-03-07,AZN.ST,305.0,315.5,305.0,314.5,1842668,252.1415828165942,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-03-08,AZN.ST,305.0,313.5,304.5,310.0,2251278,248.53383361890047,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-03-09,AZN.ST,321.0,327.5,319.5,322.5,2900229,258.5553591680497,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-03-10,AZN.ST,329.5,346.0,328.0,345.5,5001798,276.9949661784842,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-03-13,AZN.ST,345.5,345.5,345.5,345.5,0,276.9949661784842,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-03-14,AZN.ST,352.0,352.0,341.5,342.5,2429529,274.5898000466884,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-03-15,AZN.ST,340.0,357.0,337.0,352.5,3047663,282.6070204860078,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-03-16,AZN.ST,360.0,375.0,360.0,366.5,1458544,293.8311291010549,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-03-17,AZN.ST,377.5,379.0,351.0,356.0,2993652,285.41304763976956,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-03-20,AZN.ST,354.0,357.5,350.0,353.5,2707329,283.40874252993973,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-03-21,AZN.ST,358.0,373.0,355.0,362.0,2945062,290.2233799033612,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-03-22,AZN.ST,375.0,377.0,367.5,370.0,1804570,296.6371562548167,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-03-23,AZN.ST,376.0,377.5,370.0,373.5,1647622,299.4431834085785,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-03-24,AZN.ST,375.0,386.0,368.0,384.5,3179735,308.2621258918298,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-03-27,AZN.ST,372.0,381.5,370.5,371.5,1106798,297.8397393207146,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-03-28,AZN.ST,372.0,373.0,359.0,362.0,2580933,290.2233799033612,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-03-29,AZN.ST,363.0,363.0,348.0,351.0,1078359,281.4044374201099,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-03-30,AZN.ST,352.5,355.0,342.0,345.5,947169,276.9949661784842,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-03-31,AZN.ST,341.0,355.0,341.0,349.0,1092119,279.80099333224604,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-04-03,AZN.ST,348.0,370.0,345.0,368.0,1846674,295.0337121669528,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-04-04,AZN.ST,377.0,387.5,377.0,385.5,2899605,309.0638479357617,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-04-05,AZN.ST,383.0,383.0,366.0,369.0,1622528,295.8354342108848,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-04-06,AZN.ST,366.0,383.0,364.5,382.0,1560816,306.25782078199995,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-04-07,AZN.ST,381.0,382.0,373.5,376.5,1811854,301.8483495403743,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-04-10,AZN.ST,373.0,381.5,368.0,381.5,633955,305.856959760034,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-04-11,AZN.ST,380.0,392.0,380.0,390.0,1958041,312.67159713345546,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-04-12,AZN.ST,390.0,393.0,386.5,391.5,1955105,313.87418019935336,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-04-13,AZN.ST,388.0,393.5,387.0,392.0,1301448,314.2750412213193,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-04-14,AZN.ST,390.0,390.0,381.0,384.0,1050501,307.8612648698638,0.0,1.0,yahoo,2024-06-23 23:05:15
2000-04-17,AZN.ST,370.0,380.5,365.0,374.5,1479577,300.2449054525104,0.0,1.0,yahoo,2024-06-23 23:05:15
