date,symbol,open,high,low,close,volume,adjusted,divd,split
2012-01-03,IHI,59.71,60.11,59.68,59.74,87200,9.48243425091,0.0,1.0
2012-01-04,IHI,59.44,59.45,58.94,59.06,12700,9.37449894307,0.0,1.0
2012-01-05,IHI,58.94,59.38,58.69,59.29,30600,9.41100647366,0.0,1.0
2012-01-06,IHI,59.29,59.55,59.0,59.43,103000,9.43322844881,0.0,1.0
2012-01-09,IHI,59.46,59.46,58.85,59.25,48700,9.40465733791,0.0,1.0
2012-01-10,IHI,59.68,59.7655,59.5006,59.69,46500,9.47449783122,0.0,1.0
2012-01-11,IHI,59.41,60.27,59.41,60.22,13300,9.55862387998,0.0,1.0
2012-01-12,IHI,60.29,60.29,59.54,60.24,25000,9.56179844786,0.0,1.0
2012-01-13,IHI,59.7,60.09,59.53,60.08,48500,9.53640190483,0.0,1.0
2012-01-17,IHI,60.44,60.785,60.35,60.41,92900,9.58878227482,0.0,1.0
2012-01-18,IHI,60.33,60.99,60.12,60.99,60600,9.68084474327,0.0,1.0
2012-01-19,IHI,61.07,62.03,61.07,61.8,102700,9.80941474232,0.0,1.0
2012-01-20,IHI,61.64,61.64,61.12,61.38,14300,9.74274881689,0.0,1.0
2012-01-23,IHI,61.24,61.73,61.1,61.36,129500,9.73957424901,0.0,1.0
2012-01-24,IHI,61.36,62.01,61.36,61.73,66000,9.79830375475,0.0,1.0
2012-01-25,IHI,61.88,63.6,61.88,63.52,62700,10.0824275798,0.0,1.0
2012-01-26,IHI,63.73,64.07,63.03,63.31,220600,10.0490946171,0.0,1.0
2012-01-27,IHI,63.39,64.14,63.39,63.98,14000,10.155442641,0.0,1.0
2012-01-30,IHI,63.49,63.74,63.26,63.72,79500,10.1141732586,0.0,1.0
2012-01-31,IHI,63.94,64.37,63.7,63.78,167800,10.1236969622,0.0,1.0
2012-02-01,IHI,63.93,64.944,63.93,64.81,110900,10.2871872079,0.0,1.0
2012-02-02,IHI,64.74,65.17,64.59,65.02,29800,10.3205201706,0.0,1.0
