date,symbol,open,high,low,close,volume,adjusted,divd,split,source,recordDate
1998-12-22,XLB,20.78125,20.828125,20.75,20.828125,1900,12.128876244324365,0.0,1.0,yahoo,2023-05-06 01:23:03
1998-12-23,XLB,20.96875,21.140625,20.96875,21.046875,700,12.256261291151478,0.0,1.0,yahoo,2023-05-06 01:23:03
1998-12-24,XLB,21.296875,21.53125,21.203125,21.53125,1500,12.538328180554371,0.0,1.0,yahoo,2023-05-06 01:23:03
1998-12-28,XLB,21.5,21.5,21.3125,21.34375,2500,12.429140997559703,0.0,1.0,yahoo,2023-05-06 01:23:03
1998-12-29,XLB,21.734375,21.734375,21.734375,21.734375,100,12.65661429546526,0.0,1.0,yahoo,2023-05-06 01:23:03
1998-12-30,XLB,21.71875,21.71875,21.671875,21.671875,800,12.620218567800372,0.0,1.0,yahoo,2023-05-06 01:23:03
1998-12-31,XLB,21.859375,22.0,21.859375,21.921875,3300,12.76580147845993,0.0,1.0,yahoo,2023-05-06 01:23:03
1999-01-04,XLB,21.9375,22.25,21.65625,21.65625,13000,12.61111963588415,0.0,1.0,yahoo,2023-05-06 01:23:03
1999-01-05,XLB,21.859375,22.296875,21.859375,22.1875,4400,12.920483321035709,0.0,1.0,yahoo,2023-05-06 01:23:03
1999-01-06,XLB,22.328125,22.578125,22.21875,22.578125,12900,13.147956618941267,0.0,1.0,yahoo,2023-05-06 01:23:03
1999-01-07,XLB,22.46875,23.390625,22.328125,22.40625,86200,13.04786836786282,0.0,1.0,yahoo,2023-05-06 01:23:03
1999-01-08,XLB,22.609375,23.171875,22.609375,23.171875,25200,13.493716031757716,0.0,1.0,yahoo,2023-05-06 01:23:03
1999-01-11,XLB,23.1875,23.21875,23.0,23.21875,14200,13.521012827506382,0.0,1.0,yahoo,2023-05-06 01:23:03
1999-01-12,XLB,23.015625,23.125,22.578125,22.625,5100,13.175253414689934,0.0,1.0,yahoo,2023-05-06 01:23:03
1999-01-13,XLB,21.953125,22.375,21.953125,22.125,5500,12.88408759337082,0.0,1.0,yahoo,2023-05-06 01:23:03
1999-01-14,XLB,22.1875,22.21875,21.5625,21.75,127300,12.665713227381483,0.0,1.0,yahoo,2023-05-06 01:23:03
1999-01-15,XLB,22.0,22.078125,21.890625,22.078125,15800,12.856790797622152,0.0,1.0,yahoo,2023-05-06 01:23:03
1999-01-19,XLB,22.0,22.0,21.515625,21.671875,26700,12.620218567800372,0.0,1.0,yahoo,2023-05-06 01:23:03
