date,symbol,open,high,low,close,volume,adjusted,divd,split
2012-01-03,XLV,35.1,35.26,35.03,35.14,18864300,29.9250348763,0.0,1.0
2012-01-04,XLV,35.11,35.13,34.85,34.97,6174000,29.7802637913,0.0,1.0
2012-01-05,XLV,34.78,35.11,34.712,35.07,5939700,29.8654232531,0.0,1.0
2012-01-06,XLV,35.12,35.21,34.96,35.13,6762500,29.9165189302,0.0,1.0
2012-01-09,XLV,35.2,35.2189,34.91,35.19,10695300,29.9676146072,0.0,1.0
2012-01-10,XLV,35.43,35.53,35.4,35.45,7122300,30.1890292079,0.0,1.0
2012-01-11,XLV,35.41,35.54,35.29,35.48,3501000,30.2145770465,0.0,1.0
2012-01-12,XLV,35.56,35.62,35.33,35.59,3404900,30.3082524544,0.0,1.0
2012-01-13,XLV,35.36,35.462,35.155,35.43,4826800,30.1719973156,0.0,1.0
2012-01-17,XLV,35.71,35.87,35.611,35.65,5792900,30.3593481315,0.0,1.0
2012-01-18,XLV,35.64,35.86,35.57,35.85,6940400,30.5296670551,0.0,1.0
2012-01-19,XLV,35.76,35.89,35.66,35.85,4447600,30.5296670551,0.0,1.0
2012-01-20,XLV,35.9,35.9564,35.715,35.85,7768900,30.5296670551,0.0,1.0
2012-01-23,XLV,35.86,35.92,35.59,35.69,5658200,30.3934119162,0.0,1.0
2012-01-24,XLV,35.59,35.82,35.59,35.7,4382200,30.4019278624,0.0,1.0
2012-01-25,XLV,35.5601,36.02,35.48,35.96,6827200,30.6233424631,0.0,1.0
2012-01-26,XLV,36.1,36.1,35.68,35.8,5074500,30.4870873242,0.0,1.0
2012-01-27,XLV,35.66,35.94,35.66,35.82,3500700,30.5041192166,0.0,1.0
2012-01-30,XLV,35.6,35.79,35.45,35.77,5297700,30.4615394857,0.0,1.0
2012-01-31,XLV,35.9001,36.13,35.71,35.8,7538700,30.4870873242,0.0,1.0
2012-02-01,XLV,35.91,36.3167,35.91,36.15,13009200,30.7851454405,0.0,1.0
2012-02-02,XLV,36.19,36.19,35.8,36.01,5953400,30.665922194,0.0,1.0
2012-02-03,XLV,36.22,36.27,36.09,36.22,8292500,30.8447570638,0.0,1.0
2012-02-06,XLV,36.06,36.15,35.91,36.02,4095400,30.6744381402,0.0,1.0
2012-02-07,XLV,35.98,36.19,35.86,36.15,3442200,30.7851454405,0.0,1.0
2012-02-08,XLV,36.16,36.19,35.95,36.15,4758300,30.7851454405,0.0,1.0
2012-02-09,XLV,36.13,36.145,35.86,35.96,6164500,30.6233424631,0.0,1.0
2012-02-10,XLV,35.75,35.85,35.621,35.81,3648100,30.4956032704,0.0,1.0
2012-02-13,XLV,35.98,36.1683,35.97,36.08,5493800,30.7255338173,0.0,1.0
2012-02-14,XLV,36.09,36.25,36.0,36.23,4253200,30.85327301,0.0,1.0
2012-02-15,XLV,36.26,36.32,36.05,36.16,5725300,30.7936613867,0.0,1.0
2012-02-16,XLV,36.1,36.4,36.04,36.36,5059900,30.9639803103,0.0,1.0
2012-02-17,XLV,36.34,36.36,36.17,36.24,4531300,30.8617889561,0.0,1.0
2012-02-21,XLV,36.3,36.34,35.92,35.98,7076000,30.6403743555,0.0,1.0
2012-02-22,XLV,35.95,36.09,35.85,35.98,4212300,30.6403743555,0.0,1.0
2012-02-23,XLV,36.0,36.07,35.93,36.01,3551600,30.665922194,0.0,1.0
2012-02-24,XLV,36.11,36.24,36.04,36.19,7647200,30.8192092252,0.0,1.0
2012-02-27,XLV,36.01,36.34,35.92,36.26,9274100,30.8788208485,0.0,1.0
2012-02-28,XLV,36.22,36.46,36.18,36.4,4370300,30.998044095,0.0,1.0
2012-02-29,XLV,36.38,36.48,36.18,36.18,6353900,30.8106932791,0.0,1.0
2012-03-01,XLV,36.21,36.42,36.18,36.37,6010100,30.9724962565,0.0,1.0
2012-03-02,XLV,36.44,36.44,36.22,36.31,3602700,30.9214005794,0.0,1.0
2012-03-05,XLV,36.27,36.42,36.18,36.23,3395800,30.85327301,0.0,1.0
2012-03-06,XLV,36.03,36.12,35.68,35.76,4316000,30.4530235395,0.0,1.0
2012-03-07,XLV,35.84,35.955,35.72,35.92,4343200,30.5892786784,0.0,1.0
2012-03-08,XLV,36.11,36.41,36.11,36.32,4186400,30.9299165256,0.0,1.0
2012-03-09,XLV,36.37,36.6,36.35,36.47,4698200,31.0576557183,0.0,1.0
2012-03-12,XLV,36.4,36.54,36.39,36.47,2426600,31.0576557183,0.0,1.0
2012-03-13,XLV,36.66,37.005,36.58,36.99,7159400,31.5004849196,0.0,1.0
2012-03-14,XLV,36.9,37.06,36.9,36.98,6217000,31.4919689735,0.0,1.0
2012-03-15,XLV,36.99,37.1019,36.89,37.04,3819900,31.5430646505,0.0,1.0
2012-03-16,XLV,36.95,36.99,36.8,36.85,4000200,31.5400755534,0.1865,1.0
2012-03-19,XLV,36.79,36.9,36.72,36.84,4130800,31.5315165099,0.0,1.0
2012-03-20,XLV,36.62,36.77,36.61,36.65,2980600,31.368894682,0.0,1.0
2012-03-21,XLV,36.69,36.72,36.57,36.635,3717900,31.3560561167,0.0,1.0
2012-03-22,XLV,36.48,36.59,36.4,36.51,4888200,31.2490680721,0.0,1.0
2012-03-23,XLV,36.59,36.66,36.46,36.62,2760400,31.3432175513,0.0,1.0
2012-03-26,XLV,36.86,37.26,36.81,37.26,9504600,31.8909963398,0.0,1.0
2012-03-27,XLV,37.28,37.48,37.28,37.33,5334600,31.9509096448,0.0,1.0
2012-03-28,XLV,37.36,37.49,37.07,37.25,8930400,31.8824372962,0.0,1.0
2012-03-29,XLV,37.09,37.365,37.04,37.33,8620700,31.9509096448,0.0,1.0
2012-03-30,XLV,37.47,37.66,37.41,37.61,7242900,32.1905628647,0.0,1.0
2012-04-02,XLV,37.61,37.84,37.48,37.74,10149200,32.3018304311,0.0,1.0
2012-04-03,XLV,37.78,38.0,37.55,37.72,8863100,32.284712344,0.0,1.0
2012-04-04,XLV,37.57,37.63,37.43,37.515,7096900,32.1092519508,0.0,1.0
2012-04-05,XLV,37.4,37.55,37.32,37.51,3536300,32.104972429,0.0,1.0
2012-04-09,XLV,37.19,37.22,37.02,37.04,3188600,31.7026973812,0.0,1.0
2012-04-10,XLV,37.02,37.11,36.6,36.62,6500200,31.3432175513,0.0,1.0
2012-04-11,XLV,36.93,36.958,36.7154,36.75,3793600,31.4544851177,0.0,1.0
2012-04-12,XLV,36.79,36.99,36.77,36.95,4721900,31.6256659891,0.0,1.0
2012-04-13,XLV,36.89,36.89,36.58,36.58,4560700,31.308981377,0.0,1.0
2012-04-16,XLV,36.76,36.76,36.4801,36.59,7243300,31.3175404206,0.0,1.0
2012-04-17,XLV,36.78,37.16,36.7,37.13,4194700,31.7797287734,0.0,1.0
2012-04-18,XLV,37.06,37.14,36.99,37.01,4080300,31.6770202505,0.0,1.0
2012-04-19,XLV,37.21,37.39,36.95,37.09,9542800,31.7454925991,0.0,1.0
2012-04-20,XLV,37.21,37.48,37.15,37.29,5714600,31.9166734705,0.0,1.0
2012-04-23,XLV,36.9,37.05,36.89,37.0,4906800,31.668461207,0.0,1.0
2012-04-24,XLV,37.03,37.21,36.95,37.13,2971200,31.7797287734,0.0,1.0
2012-04-25,XLV,37.32,37.58,37.29,37.52,6216400,32.1135314726,0.0,1.0
2012-04-26,XLV,37.35,37.557,37.22,37.51,5472700,32.104972429,0.0,1.0
2012-04-27,XLV,37.58,37.7,37.42,37.53,3979400,32.1220905161,0.0,1.0
2012-04-30,XLV,37.51,37.63,37.41,37.51,4775100,32.104972429,0.0,1.0
2012-05-01,XLV,37.44,37.745,37.26,37.65,5532400,32.224799039,0.0,1.0
2012-05-02,XLV,37.5,37.61,37.47,37.58,2863300,32.164885734,0.0,1.0
2012-05-03,XLV,37.62,37.62,37.378,37.44,3297100,32.045059124,0.0,1.0
2012-05-04,XLV,37.29,37.32,36.93,36.95,4886400,31.6256659891,0.0,1.0
2012-05-07,XLV,36.73,37.155,36.73,37.03,5690200,31.6941383377,0.0,1.0
2012-05-08,XLV,36.82,37.12,36.66,37.04,3984500,31.7026973812,0.0,1.0
2012-05-09,XLV,36.83,37.02,36.575,36.79,8694500,31.488721292,0.0,1.0
2012-05-10,XLV,36.97,37.2028,36.97,37.05,3400000,31.7112564248,0.0,1.0
2012-05-11,XLV,36.98,37.3,36.97,37.01,3514200,31.6770202505,0.0,1.0
2012-05-14,XLV,36.8,37.0372,36.63,36.89,8433800,31.5743117277,0.0,1.0
2012-05-15,XLV,36.8,36.94,36.575,36.67,5206200,31.3860127692,0.0,1.0
2012-05-16,XLV,36.76,36.9,36.68,36.73,6770700,31.4373670306,0.0,1.0
2012-05-17,XLV,36.8,36.8099,36.35,36.39,5766800,31.1463595492,0.0,1.0
2012-05-18,XLV,36.49,36.5,35.96,36.07,6830700,30.872470155,0.0,1.0
2012-05-21,XLV,36.11,36.4469,36.09,36.42,7835900,31.1720366799,0.0,1.0
2012-05-22,XLV,36.45,36.66,36.22,36.32,5614400,31.0864462442,0.0,1.0
2012-05-23,XLV,36.23,36.34,35.81,36.16,6769800,30.9495015471,0.0,1.0
2012-05-24,XLV,36.26,36.51,36.16,36.51,6592400,31.2490680721,0.0,1.0
2012-05-25,XLV,36.42,36.62,36.31,36.42,3065800,31.1720366799,0.0,1.0
2012-05-29,XLV,36.62,36.745,36.422,36.54,9650100,31.2747452028,0.0,1.0
2012-05-30,XLV,36.41,36.43,36.22,36.33,3818200,31.0950052878,0.0,1.0
2012-05-31,XLV,36.33,36.41,35.95,36.15,4766300,30.9409425036,0.0,1.0
2012-06-01,XLV,35.8,35.9,35.47,35.51,10556700,30.3931637151,0.0,1.0
2012-06-04,XLV,35.52,35.67,35.38,35.59,5566800,30.4616360637,0.0,1.0
2012-06-05,XLV,35.48,35.88,35.45,35.79,7621900,30.6328169351,0.0,1.0
2012-06-06,XLV,35.93,36.35,35.87,36.35,8536400,31.112123375,0.0,1.0
