date,symbol,open,high,low,close,volume,adjusted,divd,split
2012-01-03,PSJ,23.8,23.89,23.46,23.46,6323,23.3680943746,0.0,1.0
2012-01-04,PSJ,23.16,23.2199,23.11,23.13,5006,23.0393871647,0.0,1.0
2012-01-05,PSJ,23.08,23.12,22.94,23.072,763,22.9816143824,0.0,1.0
2012-01-06,PSJ,23.32,23.4,23.1212,23.22,8198,23.1290345856,0.0,1.0
2012-01-09,PSJ,23.19,23.24,23.0535,23.17,45562,23.0792304629,0.0,1.0
2012-01-10,PSJ,23.35,23.53,23.35,23.47,13547,23.3780551992,0.0,1.0
2012-01-11,PSJ,23.47,23.64,23.47,23.6,10170,23.5075459182,0.0,1.0
2012-01-12,PSJ,23.6,23.6,23.54,23.57,104000,23.4776634446,0.0,1.0
2012-01-13,PSJ,23.38,23.38,23.08,23.206,3125,23.1150894313,0.0,1.0
2012-01-17,PSJ,23.33,23.4505,23.26,23.31,5778,23.2186820065,0.0,1.0
2012-01-18,PSJ,23.31,23.76,23.31,23.76,6348,23.6669191109,0.0,1.0
2012-01-19,PSJ,23.95,24.1,23.9393,24.09,6264,23.9956263207,0.0,1.0
2012-01-20,PSJ,24.22,24.5,24.22,24.3648,2950,24.2693497791,0.0,1.0
2012-01-23,PSJ,24.44,24.44,24.11,24.22,7126,24.1251170398,0.0,1.0
2012-01-24,PSJ,24.24,24.53,24.24,24.49,4448,24.3940593024,0.0,1.0
2012-01-25,PSJ,24.52,24.7,24.37,24.67,8588,24.5733541441,0.0,1.0
2012-01-26,PSJ,24.7,24.8204,24.48,24.54,5521,24.4438634251,0.0,1.0
2012-01-27,PSJ,24.51,24.78,24.51,24.75,3709,24.6530407405,0.0,1.0
2012-01-30,PSJ,24.4,24.63,24.4,24.51,3547,24.4139809515,0.0,1.0
2012-01-31,PSJ,24.63,24.6975,24.46,24.63,11998,24.533510846,0.0,1.0
2012-02-01,PSJ,24.66,25.0415,24.59,25.03,10204,24.9319438276,0.0,1.0
2012-02-02,PSJ,25.1,25.42,25.1,25.219,7955,25.1202034115,0.0,1.0
2012-02-03,PSJ,25.5,25.81,25.5,25.81,1958,25.7088881419,0.0,1.0
2012-02-06,PSJ,25.74,25.81,25.5899,25.61,11143,25.5096716511,0.0,1.0
2012-02-07,PSJ,25.67,25.75,25.62,25.7,50939,25.5993190719,0.0,1.0
2012-02-08,PSJ,25.76,25.92,25.674,25.899,8472,25.7975394803,0.0,1.0
2012-02-09,PSJ,25.98,26.08,25.89,26.04,9344,25.9379871063,0.0,1.0
2012-02-10,PSJ,25.76,25.83,25.715,25.75,3960,25.6491231946,0.0,1.0
2012-02-13,PSJ,26.01,26.07,25.98,26.02,6217,25.9180654573,0.0,1.0
2012-02-14,PSJ,25.85,25.98,25.85,25.98,4791,25.8782221591,0.0,1.0
2012-02-15,PSJ,26.05,26.114,25.846,25.88,9646,25.7786139137,0.0,1.0
2012-02-16,PSJ,25.91,26.2,25.8539,26.2,12914,26.097360299,0.0,1.0
2012-02-17,PSJ,26.15,26.15,25.9176,25.986,5468,25.8841986538,0.0,1.0
2012-02-21,PSJ,25.99,26.1899,25.86,25.86,8253,25.7586922646,0.0,1.0
2012-02-22,PSJ,26.01,26.34,26.01,26.303,2933,26.1999567918,0.0,1.0
2012-02-23,PSJ,26.47,26.55,26.41,26.52,5180,26.4161066843,0.0,1.0
2012-02-24,PSJ,26.57,26.66,26.5101,26.54,297164,26.4360283334,0.0,1.0
2012-02-27,PSJ,26.44,26.65,26.17,26.554,10699,26.4499734878,0.0,1.0
2012-02-28,PSJ,26.52,26.608,26.3205,26.34,2890,26.2368118426,0.0,1.0
2012-02-29,PSJ,26.469,26.469,26.02,26.02,7533,25.9180654573,0.0,1.0
2012-03-01,PSJ,26.05,26.33,26.05,26.154,4300,26.0515405061,0.0,1.0
2012-03-02,PSJ,26.16,26.206,25.9,25.9701,1710,25.8683609428,0.0,1.0
2012-03-05,PSJ,25.95,26.008,25.811,25.924,4436,25.8224415417,0.0,1.0
2012-03-06,PSJ,25.8,25.8,25.53,25.63,4055,25.5295933001,0.0,1.0
2012-03-07,PSJ,25.73,25.9975,25.73,25.9975,2570,25.895653602,0.0,1.0
2012-03-08,PSJ,26.0801,26.29,26.0801,26.266,2999,26.163101741,0.0,1.0
