date,symbol,open,high,low,close,volume,adjusted,divd,split
2015-03-17,SRET,15.19,15.19,15.14,15.1781,28997,8.98517579005,0.0,1.0
2015-03-18,SRET,15.23,15.49,15.17,15.49,6605,9.16981525935,0.0,1.0
2015-03-19,SRET,15.42,15.49,15.35,15.4,8396,9.11653679754,0.0,1.0
2015-03-20,SRET,15.52,15.66,15.52,15.64,8815,9.25861269569,0.0,1.0
2015-03-23,SRET,15.71,15.76,15.703,15.73,10003,9.31189115749,0.0,1.0
2015-03-24,SRET,15.71,15.71,15.6747,15.6747,5841,9.27915450263,0.0,1.0
2015-03-25,SRET,15.73,15.73,15.54,15.54,19397,9.1994144048,0.0,1.0
2015-03-26,SRET,15.4799,15.48,15.4459,15.4459,4372,9.14370881306,0.0,1.0
2015-03-27,SRET,15.49,15.49,15.4,15.4,2685,9.11653679754,0.0,1.0
2015-03-30,SRET,15.4401,15.4897,15.4,15.48,5060,9.16389543026,0.0,1.0
2015-03-31,SRET,15.44,15.4899,15.44,15.44,878,9.1402161139,0.0,1.0
2015-04-01,SRET,15.5,15.53,15.4536,15.49,1826,9.16981525935,0.0,1.0
2015-04-02,SRET,15.552,15.56,15.5224,15.56,3145,9.21125406297,0.0,1.0
2015-04-06,SRET,15.71,15.71,15.674,15.69,1105,9.28821184114,0.0,1.0
2015-04-07,SRET,15.7,15.7,15.55,15.58,6382,9.22309372115,0.0,1.0
2015-04-08,SRET,15.5922,15.63,15.5922,15.617,1751,9.24499708878,0.0,1.0
2015-04-09,SRET,15.63,15.63,15.48,15.48,5163,9.16389543026,0.0,1.0
2015-04-10,SRET,15.51,15.59,15.51,15.59,809,9.22901355024,0.0,1.0
2015-04-13,SRET,15.58,15.6,15.56,15.5661,9506,9.21486515872,0.0,1.0
2015-04-14,SRET,15.56,15.58,15.54,15.5482,6105,9.20426866465,0.0,1.0
2015-04-15,SRET,15.56,15.589,15.531,15.589,4552,9.22842156733,0.0,1.0
2015-04-16,SRET,15.61,15.62,15.61,15.62,3535,9.24677303751,0.0,1.0
2015-04-17,SRET,15.5656,15.5656,15.5656,15.5656,397,9.21456916726,0.0,1.0
2015-04-20,SRET,15.6221,15.6221,15.6099,15.61,1814,9.24085320842,0.0,1.0
2015-04-21,SRET,15.62,15.62,15.6,15.6,1682,9.23493337933,0.0,1.0
2015-04-22,SRET,15.5799,15.5799,15.53,15.55,5955,9.20533423388,0.0,1.0
2015-04-23,SRET,15.5499,15.59,15.5499,15.59,1272,9.22901355024,0.0,1.0
2015-04-24,SRET,15.6,15.69,15.6,15.6699,4083,9.27631298467,0.0,1.0
2015-04-27,SRET,15.66,15.66,15.6117,15.6171,3514,9.24505628707,0.0,1.0
2015-04-28,SRET,15.66,15.66,15.6195,15.6195,2579,9.24647704606,0.0,1.0
2015-04-29,SRET,15.54,15.58,15.4799,15.4799,5826,9.16383623197,0.0,1.0
2015-04-30,SRET,15.41,15.41,15.26,15.27,4920,9.03957901938,0.0,1.0
2015-05-01,SRET,15.17,15.1899,15.148,15.1899,1682,9.05343141945,0.1035,1.0
2015-05-04,SRET,15.16,15.2559,15.16,15.2199,4311,9.07131191522,0.0,1.0
2015-05-05,SRET,15.27,15.27,15.0501,15.08,8291,8.98792920331,0.0,1.0
2015-05-06,SRET,15.07,15.07,14.94,14.94,4539,8.90448688975,0.0,1.0
2015-05-07,SRET,14.89,14.93,14.795,14.91,2890,8.88660639399,0.0,1.0
2015-05-08,SRET,15.05,15.06,15.05,15.05,3107,8.97004870755,0.0,1.0
2015-05-11,SRET,15.0,15.02,14.9399,14.9399,1702,8.9044272881,0.0,1.0
2015-05-12,SRET,14.8509,14.99,14.8405,14.99,3114,8.93428771602,0.0,1.0
2015-05-13,SRET,15.03,15.07,14.98,15.0,3236,8.94024788128,0.0,1.0
2015-05-14,SRET,15.07,15.1,15.036,15.1,3358,8.99984953382,0.0,1.0
