date,symbol,open,high,low,close,volume,adjusted,divd,split
2012-01-03,TLT,119.42,120.2,118.93,119.43,9076885,94.5031589794,0.0,1.0
2012-01-04,TLT,119.26,119.28,117.68,118.01,8417068,93.3795343813,0.0,1.0
2012-01-05,TLT,118.17,119.1,117.57,117.8,6465775,93.2133645463,0.0,1.0
2012-01-06,TLT,117.75,118.96,117.71,118.73,7348338,93.9492595296,0.0,1.0
2012-01-09,TLT,118.47,119.54,118.3,118.52,5580980,93.7830896947,0.0,1.0
2012-01-10,TLT,117.73,118.87,117.68,118.32,8932484,93.624832709,0.0,1.0
2012-01-11,TLT,119.04,120.06,118.98,119.86,8634306,94.8434114985,0.0,1.0
2012-01-12,TLT,119.95,120.19,119.24,119.69,7205319,94.7088930607,0.0,1.0
2012-01-13,TLT,121.1,121.64,120.81,120.88,9818711,95.6505221253,0.0,1.0
2012-01-17,TLT,120.95,121.63,120.83,121.44,5449836,96.0936416851,0.0,1.0
2012-01-18,TLT,121.53,121.61,119.91,119.97,5803675,94.9304528406,0.0,1.0
2012-01-19,TLT,119.33,119.56,117.92,118.32,8625694,93.624832709,0.0,1.0
2012-01-20,TLT,117.71,117.96,116.97,116.98,6548162,92.5645109052,0.0,1.0
2012-01-23,TLT,116.13,116.64,115.55,116.24,7274802,91.9789600583,0.0,1.0
2012-01-24,TLT,116.71,116.71,115.78,116.45,5776452,92.1451298932,0.0,1.0
2012-01-25,TLT,116.06,118.53,115.89,116.17,12867095,91.9235701133,0.0,1.0
2012-01-26,TLT,116.65,117.71,116.59,117.71,7638469,93.1421489028,0.0,1.0
2012-01-27,TLT,117.83,118.33,117.01,118.08,5165261,93.4349243262,0.0,1.0
2012-01-30,TLT,119.84,120.39,119.34,119.47,8388363,94.5348103765,0.0,1.0
2012-01-31,TLT,119.26,120.91,119.19,120.85,7998257,95.6267835775,0.0,1.0
2012-02-01,TLT,119.75,119.9,118.81,119.18,7925120,94.5338552956,0.2888,1.0
2012-02-02,TLT,118.96,119.48,118.64,119.13,5596854,94.4941951784,0.0,1.0
2012-02-03,TLT,116.46,116.8,115.97,116.57,12467360,92.4635971791,0.0,1.0
2012-02-06,TLT,116.69,117.8,116.34,117.73,6180544,93.3837118975,0.0,1.0
2012-02-07,TLT,116.62,116.88,115.77,116.27,8790501,92.2256364761,0.0,1.0
2012-02-08,TLT,116.2,116.79,115.98,116.36,7612897,92.297024687,0.0,1.0
2012-02-09,TLT,115.86,116.04,114.62,115.49,11476886,91.6069386482,0.0,1.0
2012-02-10,TLT,116.8,117.33,116.52,116.99,7193085,92.7967421634,0.0,1.0
2012-02-13,TLT,116.6,117.37,116.43,117.14,6422849,92.9157225149,0.0,1.0
2012-02-14,TLT,117.44,118.28,117.23,117.76,8270710,93.4075079679,0.0,1.0
2012-02-15,TLT,117.66,118.27,117.49,117.55,6846076,93.2409354757,0.0,1.0
2012-02-16,TLT,117.27,117.6,116.13,116.61,9036124,92.4953252729,0.0,1.0
2012-02-17,TLT,115.86,116.61,115.76,116.58,6337946,92.4715292025,0.0,1.0
2012-02-21,TLT,115.77,115.92,114.95,115.29,8331967,91.4482981795,0.0,1.0
2012-02-22,TLT,115.89,116.76,115.81,116.74,7735910,92.5984415775,0.0,1.0
2012-02-23,TLT,116.14,117.22,115.93,116.74,5163865,92.5984415775,0.0,1.0
2012-02-24,TLT,117.23,117.58,116.95,117.5,5676829,93.2012753585,0.0,1.0
2012-02-27,TLT,118.5,118.85,118.12,118.54,8180753,94.0262057958,0.0,1.0
2012-02-28,TLT,118.87,119.14,117.94,118.15,6615652,93.7168568818,0.0,1.0
2012-02-29,TLT,118.37,118.42,116.96,117.43,14234959,93.1457511945,0.0,1.0
2012-03-01,TLT,116.17,116.68,115.54,116.06,12265622,92.2706752983,0.2668,1.0
2012-03-02,TLT,116.6,117.48,116.55,117.15,6669512,93.1372532414,0.0,1.0
2012-03-05,TLT,116.96,117.44,116.22,116.22,6921898,92.3978794001,0.0,1.0
2012-03-06,TLT,117.45,118.11,117.44,117.63,6299634,93.5188655466,0.0,1.0
2012-03-07,TLT,117.46,117.61,116.81,116.91,5567472,92.9464470888,0.0,1.0
2012-03-08,TLT,116.32,116.57,115.64,115.74,7982019,92.0162670949,0.0,1.0
2012-03-09,TLT,115.49,115.99,114.9,115.97,6975597,92.1991229911,0.0,1.0
2012-03-12,TLT,116.32,116.52,115.87,115.95,5279971,92.1832224784,0.0,1.0
2012-03-13,TLT,115.27,115.41,113.89,113.91,14414038,90.5613701812,0.0,1.0
2012-03-14,TLT,112.7,112.75,110.95,111.04,24515009,88.2796466063,0.0,1.0
2012-03-15,TLT,110.9,111.74,110.88,111.21,14153606,88.4148009644,0.0,1.0
2012-03-16,TLT,110.5,111.44,110.2,111.43,13427151,88.5897066043,0.0,1.0
2012-03-19,TLT,111.36,111.48,109.69,110.1,14011232,87.5323225086,0.0,1.0
2012-03-20,TLT,110.43,110.87,109.85,110.54,9443784,87.8821337884,0.0,1.0
2012-03-21,TLT,110.86,111.89,110.81,111.79,10241629,88.8759158332,0.0,1.0
2012-03-22,TLT,112.29,112.37,111.87,112.15,8009786,89.1621250621,0.0,1.0
2012-03-23,TLT,112.69,113.39,112.66,113.21,8461242,90.0048522361,0.0,1.0
2012-03-26,TLT,112.83,113.01,111.8,112.63,8118600,89.5437373673,0.0,1.0
2012-03-27,TLT,112.78,113.7,112.7,113.44,6972257,90.1877081324,0.0,1.0
2012-03-28,TLT,112.92,113.94,112.85,113.28,7885895,90.0605040306,0.0,1.0
2012-03-29,TLT,114.02,114.19,113.58,114.13,7692776,90.7362758211,0.0,1.0
2012-03-30,TLT,114.21,114.27,112.19,112.2,9467448,89.2018763439,0.0,1.0
2012-04-02,TLT,113.0,113.3,112.2,112.53,8944053,89.6947938282,0.29,1.0
2012-04-03,TLT,113.01,113.44,110.57,110.58,14774279,88.1404985472,0.0,1.0
2012-04-04,TLT,111.77,112.12,111.41,112.1,10095599,89.3520517919,0.0,1.0
2012-04-05,TLT,113.0,113.07,112.33,112.91,6364087,89.9976821393,0.0,1.0
2012-04-09,TLT,115.54,115.77,115.24,115.55,14374511,92.1019588274,0.0,1.0
2012-04-10,TLT,115.95,117.29,115.78,116.86,14421245,93.1461264264,0.0,1.0
2012-04-11,TLT,115.71,116.06,115.35,115.46,8712928,92.0302221221,0.0,1.0
2012-04-12,TLT,115.67,115.75,114.82,114.98,9008477,91.6476263607,0.0,1.0
2012-04-13,TLT,116.15,116.9,116.12,116.84,8607685,93.1301849363,0.0,1.0
2012-04-16,TLT,116.7,117.6,116.57,116.67,7734950,92.9946822708,0.0,1.0
2012-04-17,TLT,116.53,116.83,116.25,116.6,5398578,92.9388870556,0.0,1.0
2012-04-18,TLT,117.05,117.12,116.73,116.94,4074331,93.2098923866,0.0,1.0
2012-04-19,TLT,117.25,117.47,117.02,117.05,5374260,93.297570582,0.0,1.0
2012-04-20,TLT,116.56,117.13,116.33,117.07,5043269,93.313512072,0.0,1.0
2012-04-23,TLT,118.11,118.41,117.79,117.92,5170085,93.9910253996,0.0,1.0
2012-04-24,TLT,117.61,117.76,117.08,117.09,4336567,93.3294535621,0.0,1.0
2012-04-25,TLT,116.41,117.32,115.69,116.49,8859429,92.8512088603,0.0,1.0
2012-04-26,TLT,117.42,117.46,116.59,117.19,5132089,93.4091610124,0.0,1.0
2012-04-27,TLT,117.02,117.36,116.79,117.29,2815028,93.4888684627,0.0,1.0
2012-04-30,TLT,117.57,117.75,117.19,117.32,4198334,93.5127806978,0.0,1.0
2012-05-01,TLT,117.43,117.62,116.07,116.43,7214901,93.0293518234,0.2835,1.0
2012-05-02,TLT,117.22,117.32,116.8,117.25,3565669,93.6845443725,0.0,1.0
2012-05-03,TLT,116.64,117.37,116.56,117.22,3522807,93.6605739134,0.0,1.0
2012-05-04,TLT,117.48,118.19,117.4,118.14,6367227,94.3956679929,0.0,1.0
2012-05-07,TLT,118.32,118.46,118.02,118.16,3228158,94.411648299,0.0,1.0
2012-05-08,TLT,118.69,119.51,118.66,118.79,6051598,94.9150279404,0.0,1.0
2012-05-09,TLT,119.45,119.57,118.44,118.87,5828828,94.9789491647,0.0,1.0
2012-05-10,TLT,118.02,118.62,117.44,118.52,6302559,94.6992938084,0.0,1.0
2012-05-11,TLT,119.49,119.6,118.96,119.5,5234272,95.4823288061,0.0,1.0
2012-05-14,TLT,120.87,121.3,120.6,121.17,8789341,96.8166843635,0.0,1.0
2012-05-15,TLT,121.09,121.73,120.82,121.66,6766174,97.2082018624,0.0,1.0
2012-05-16,TLT,120.98,122.18,120.72,122.01,6462312,97.4878572187,0.0,1.0
2012-05-17,TLT,122.03,124.28,122.02,124.17,14859136,99.2137302749,0.0,1.0
2012-05-18,TLT,123.27,124.44,123.11,124.2,10137901,99.2377007341,0.0,1.0
2012-05-21,TLT,123.9,124.45,123.62,123.94,9583466,99.0299567551,0.0,1.0
2012-05-22,TLT,122.75,122.88,122.06,122.56,12475466,97.9273156358,0.0,1.0
2012-05-23,TLT,123.55,124.52,123.36,123.41,11744790,98.606478644,0.0,1.0
2012-05-24,TLT,123.23,123.79,122.75,122.94,10256193,98.2309414512,0.0,1.0
2012-05-25,TLT,123.43,123.54,123.14,123.4,4723541,98.598488491,0.0,1.0
2012-05-29,TLT,123.39,123.81,123.0,123.02,5874072,98.2948626756,0.0,1.0
2012-05-30,TLT,125.32,126.32,125.3,126.14,17170376,100.787790423,0.0,1.0
2012-05-31,TLT,127.03,129.08,126.67,127.6,31174444,101.954352767,0.0,1.0
2012-06-01,TLT,128.87,130.38,128.53,130.36,23525949,104.369497973,0.2627,1.0
2012-06-04,TLT,129.31,130.18,128.94,129.33,11681548,103.544854042,0.0,1.0
2012-06-05,TLT,128.53,128.64,127.59,127.6,12482709,102.159772487,0.0,1.0
2012-06-06,TLT,127.56,127.6,125.05,125.05,20805420,100.118178287,0.0,1.0
2012-06-07,TLT,124.65,125.74,124.39,125.24,18897998,100.270297071,0.0,1.0
2012-06-08,TLT,126.75,126.95,124.57,125.21,11238640,100.246278316,0.0,1.0
2012-06-11,TLT,124.79,126.21,124.77,125.78,10693793,100.702634666,0.0,1.0
2012-06-12,TLT,124.97,125.63,124.5,124.63,10921579,99.7819157134,0.0,1.0
2012-06-13,TLT,124.85,126.28,124.38,125.86,11099969,100.76668468,0.0,1.0
2012-06-14,TLT,125.95,126.28,125.19,125.7,7688149,100.638584652,0.0,1.0
2012-06-15,TLT,126.58,126.85,126.14,126.4,6421386,101.199022275,0.0,1.0
2012-06-18,TLT,127.15,127.34,126.26,127.08,6698222,101.743447395,0.0,1.0
2012-06-19,TLT,126.28,126.37,125.33,125.42,8227900,100.414409603,0.0,1.0
2012-06-20,TLT,124.57,126.51,124.09,126.04,13720209,100.910797212,0.0,1.0
2012-06-21,TLT,125.95,127.25,125.89,126.71,9776554,101.44721608,0.0,1.0
2012-06-22,TLT,125.9,126.22,125.01,125.02,7830352,100.094159532,0.0,1.0
2012-06-25,TLT,126.36,127.02,126.27,126.84,6113802,101.551297353,0.0,1.0
2012-06-26,TLT,126.11,126.95,125.94,126.34,5359564,101.150984765,0.0,1.0
2012-06-27,TLT,126.56,126.79,126.03,126.54,5860672,101.3111098,0.0,1.0
2012-06-28,TLT,127.3,127.48,126.79,126.85,5257740,101.559303605,0.0,1.0
2012-06-29,TLT,125.03,125.63,124.63,125.2,8881875,100.238272064,0.0,1.0
2012-07-02,TLT,125.45,127.21,125.37,126.22,7817729,101.270133003,0.2688,1.0
2012-07-03,TLT,125.95,126.0,125.21,125.25,5773778,100.491872592,0.0,1.0
2012-07-05,TLT,125.35,126.32,125.25,125.89,5974553,101.005363997,0.0,1.0
2012-07-06,TLT,126.67,127.21,126.61,127.06,5817701,101.944090472,0.0,1.0
2012-07-09,TLT,127.38,128.26,127.11,128.18,5646969,102.84270043,0.0,1.0
2012-07-10,TLT,127.86,128.74,127.72,128.44,4287887,103.051306313,0.0,1.0
2012-07-11,TLT,128.59,129.47,128.26,128.6,5960873,103.179679165,0.0,1.0
2012-07-12,TLT,129.05,129.56,128.9,129.51,6420984,103.909799756,0.0,1.0
2012-07-13,TLT,129.23,129.24,128.6,129.17,4175373,103.637007447,0.0,1.0
2012-07-16,TLT,130.3,130.61,129.61,129.77,5263015,104.118405639,0.0,1.0
2012-07-17,TLT,129.26,129.82,128.64,128.75,5590882,103.300028713,0.0,1.0
2012-07-18,TLT,129.26,129.34,128.79,128.82,4009626,103.356191835,0.0,1.0
2012-07-19,TLT,128.46,129.1,128.11,128.49,5246268,103.091422829,0.0,1.0
2012-07-20,TLT,129.6,130.3,129.42,130.06,6365879,104.351081432,0.0,1.0
2012-07-23,TLT,131.31,131.44,130.51,130.79,6140543,104.936782566,0.0,1.0
2012-07-24,TLT,130.35,132.04,130.28,131.82,6748486,105.763182795,0.0,1.0
2012-07-25,TLT,131.63,132.21,131.48,132.16,5327969,106.035975104,0.0,1.0
2012-07-26,TLT,131.53,131.78,130.9,130.95,6606220,105.065155417,0.0,1.0
2012-07-27,TLT,129.89,130.01,126.96,128.48,14685089,103.083399526,0.0,1.0
2012-07-30,TLT,128.39,129.48,128.25,129.44,6025242,103.853636634,0.0,1.0
2012-07-31,TLT,129.81,129.88,128.58,129.7,7446993,104.062242517,0.0,1.0
2012-08-01,TLT,128.53,129.74,128.15,128.78,7971952,103.542745669,0.2725,1.0
2012-08-02,TLT,129.59,130.69,129.13,129.51,7971931,104.129686222,0.0,1.0
2012-08-03,TLT,127.84,128.03,126.77,127.42,9084076,102.44926738,0.0,1.0
2012-08-06,TLT,127.67,128.14,127.37,127.47,3673259,102.489468788,0.0,1.0
2012-08-07,TLT,125.96,126.13,125.43,125.83,6612511,101.170862615,0.0,1.0
2012-08-08,TLT,126.16,126.39,125.04,125.16,7250198,100.632163752,0.0,1.0
2012-08-09,TLT,124.77,125.3,123.75,125.07,7553431,100.559801218,0.0,1.0
2012-08-10,TLT,126.2,126.32,125.6,125.7,4670404,101.066338955,0.0,1.0
2012-08-13,TLT,126.11,126.38,125.49,125.49,3543699,100.897493043,0.0,1.0
2012-08-14,TLT,123.96,124.41,123.75,123.79,7992937,99.5306451811,0.0,1.0
2012-08-15,TLT,123.02,123.2,121.9,122.05,11190912,98.1316361932,0.0,1.0
2012-08-16,TLT,122.21,122.5,120.52,121.01,13238187,97.295446913,0.0,1.0
2012-08-17,TLT,121.4,122.12,121.32,121.6,6140245,97.7698235239,0.0,1.0
2012-08-20,TLT,121.55,122.19,121.5,121.85,4427023,97.9708305624,0.0,1.0
2012-08-21,TLT,121.47,122.45,120.66,122.39,9380746,98.4050057655,0.0,1.0
2012-08-22,TLT,123.52,124.51,123.21,124.41,11084322,100.029142637,0.0,1.0
2012-08-23,TLT,124.74,125.14,124.65,124.93,6839013,100.447237277,0.0,1.0
2012-08-24,TLT,125.47,125.56,124.67,124.81,5001358,100.350753898,0.0,1.0
2012-08-27,TLT,125.34,125.8,125.27,125.54,3905786,100.937694451,0.0,1.0
2012-08-28,TLT,125.75,126.36,125.59,125.84,3412537,101.178902897,0.0,1.0
2012-08-29,TLT,125.61,125.63,124.95,125.29,3762342,100.736687412,0.0,1.0
2012-08-30,TLT,126.27,126.44,125.73,125.94,3886374,101.259305712,0.0,1.0
2012-08-31,TLT,125.78,127.72,125.73,127.72,9192284,102.690475826,0.0,1.0
