date,symbol,open,high,low,close,volume,adjusted,divd,split,source,recordDate
2021-04-12,MCD,231.48,232.38,230.49,230.96,2292729.0,225.9228,0.0,1.0,eodhistoricaldata_yahoo,2022-04-11 10:18:30
2021-04-13,MCD,230.44,231.6626,229.69,231.32,2571032.0,226.2749,0.0,1.0,eodhistoricaldata_yahoo,2022-04-11 10:18:30
2021-04-14,MCD,231.22,231.29,229.59,230.31,2129184.0,225.2869,0.0,1.0,eodhistoricaldata_yahoo,2022-04-11 10:18:30
2021-04-15,MCD,229.81,231.3599,229.2,231.28,2063107.0,226.2358,0.0,1.0,eodhistoricaldata_yahoo,2022-04-11 10:18:30
2021-04-16,MCD,233.65,234.26,232.31,233.08,2694295.0,227.9965,0.0,1.0,eodhistoricaldata_yahoo,2022-04-11 10:18:30
2021-04-19,MCD,233.12,233.295,230.83,231.81,2254849.0,226.7542,0.0,1.0,eodhistoricaldata_yahoo,2022-04-11 10:18:30
2021-04-20,MCD,231.24,233.21,231.08,233.01,1885666.0,227.9281,0.0,1.0,eodhistoricaldata_yahoo,2022-04-11 10:18:30
2021-04-21,MCD,233.3,233.86,231.85,232.26,2065818.0,227.1944,0.0,1.0,eodhistoricaldata_yahoo,2022-04-11 10:18:30
2021-04-22,MCD,232.83,234.04,231.94,232.96,1839671.0,227.8791,0.0,1.0,eodhistoricaldata_yahoo,2022-04-11 10:18:30
2021-04-23,MCD,233.79,235.24,233.1,234.58,2137862.0,229.4638,0.0,1.0,eodhistoricaldata_yahoo,2022-04-11 10:18:30
2021-04-26,MCD,234.78,235.35,231.91,232.31,2490387.0,227.2433,0.0,1.0,eodhistoricaldata_yahoo,2022-04-11 10:18:30
2021-04-27,MCD,232.57,235.63,232.408,234.98,2623876.0,229.8551,0.0,1.0,eodhistoricaldata_yahoo,2022-04-11 10:18:30
2021-04-28,MCD,235.2,235.45,232.26,232.41,2776969.0,227.3411,0.0,1.0,eodhistoricaldata_yahoo,2022-04-11 10:18:30
2021-04-29,MCD,233.99,235.8,232.62,235.21,3146671.0,230.0801,0.0,1.0,eodhistoricaldata_yahoo,2022-04-11 10:18:30
2021-04-30,MCD,234.0,236.29,233.87,236.08,2640589.0,230.9311,0.0,1.0,eodhistoricaldata_yahoo,2022-04-11 10:18:30
2021-05-03,MCD,237.99,238.18,235.38,235.56,2458195.0,230.4224,0.0,1.0,eodhistoricaldata_yahoo,2022-04-11 10:18:30
2021-05-04,MCD,234.63,236.13,233.24,233.86,2529912.0,228.7595,0.0,1.0,eodhistoricaldata_yahoo,2022-04-11 10:18:30
