date,symbol,open,high,low,close,volume,adjusted,divd,split
2012-01-03,GLD,154.76,156.3,154.55,155.92,13353568,155.92,0.0,1.0
2012-01-04,GLD,155.43,157.38,155.34,156.71,11517798,156.71,0.0,1.0
2012-01-05,GLD,155.37,158.03,155.25,157.78,11597949,157.78,0.0,1.0
2012-01-06,GLD,158.5901,158.63,156.38,157.2,9790121,157.2,0.0,1.0
2012-01-09,GLD,157.36,157.59,156.19,156.5,8764806,156.5,0.0,1.0
2012-01-10,GLD,158.97,159.47,158.47,158.64,8303102,158.64,0.0,1.0
2012-01-11,GLD,159.34,160.05,158.91,159.67,7967256,159.67,0.0,1.0
2012-01-12,GLD,161.02,161.615,159.83,160.38,8599095,160.38,0.0,1.0
2012-01-13,GLD,159.32,159.59,158.01,159.26,8910256,159.26,0.0,1.0
2012-01-17,GLD,161.17,161.65,160.42,160.5,8276913,160.5,0.0,1.0
2012-01-18,GLD,159.94,161.64,159.68,161.6,9278564,161.6,0.0,1.0
2012-01-19,GLD,160.96,161.45,160.33,161.22,8110676,161.22,0.0,1.0
2012-01-20,GLD,160.5,162.09,160.0,162.07,11614926,162.07,0.0,1.0
2012-01-23,GLD,162.325,163.47,162.325,163.16,8831870,163.16,0.0,1.0
2012-01-24,GLD,161.81,162.37,161.53,162.01,7500589,162.01,0.0,1.0
2012-01-25,GLD,161.07,166.55,160.29,166.42,28927337,166.42,0.0,1.0
2012-01-26,GLD,168.05,168.31,167.05,167.27,19116178,167.27,0.0,1.0
2012-01-27,GLD,167.44,169.0,167.41,168.97,13028531,168.97,0.0,1.0
2012-01-30,GLD,168.19,168.54,167.74,168.03,8414248,168.03,0.0,1.0
2012-01-31,GLD,169.77,169.86,167.72,169.31,11159789,169.31,0.0,1.0
2012-02-01,GLD,169.75,170.18,169.08,169.56,7717305,169.56,0.0,1.0
2012-02-02,GLD,169.96,171.2299,169.68,171.05,11505527,171.05,0.0,1.0
2012-02-03,GLD,169.88,170.14,167.51,167.64,23353362,167.64,0.0,1.0
2012-02-06,GLD,166.96,167.68,166.61,167.18,8771205,167.18,0.0,1.0
2012-02-07,GLD,167.38,170.09,167.15,169.7,11607548,169.7,0.0,1.0
2012-02-08,GLD,169.26,169.96,167.5,168.5,10632480,168.5,0.0,1.0
2012-02-09,GLD,170.01,170.37,167.67,168.02,16049485,168.02,0.0,1.0
2012-02-10,GLD,166.49,167.64,166.33,167.14,10326683,167.14,0.0,1.0
2012-02-13,GLD,167.33,167.94,166.74,167.51,7085449,167.51,0.0,1.0
2012-02-14,GLD,167.65,167.93,166.42,167.12,7860046,167.12,0.0,1.0
2012-02-15,GLD,168.63,168.75,167.19,168.108,11638285,168.108,0.0,1.0
2012-02-16,GLD,166.33,168.14,166.17,168.0,10706720,168.0,0.0,1.0
2012-02-17,GLD,168.29,168.33,166.872,167.35,7286847,167.35,0.0,1.0
2012-02-21,GLD,169.65,171.07,169.59,171.02,13586548,171.02,0.0,1.0
2012-02-22,GLD,170.4,173.17,170.19,172.94,16645291,172.94,0.0,1.0
2012-02-23,GLD,172.69,173.77,172.28,173.02,11623126,173.02,0.0,1.0
