date,symbol,open,high,low,close,volume,adjusted,divd,split
2012-01-03,ONEQ,104.5,105.0671,104.16,104.16,7000,9.27011406818,0.0,1.0
2012-01-04,ONEQ,103.84,104.52,103.45,104.52,39600,9.30215363293,0.0,1.0
2012-01-05,ONEQ,104.51,105.46,103.761,105.17,16300,9.36000284706,0.0,1.0
2012-01-06,ONEQ,105.81,105.81,104.721,105.48,27300,9.38759247227,0.0,1.0
2012-01-09,ONEQ,105.7,105.748,105.004,105.588,7500,9.39720434169,0.0,1.0
2012-01-10,ONEQ,107.0,107.0,106.23,106.62,12400,9.48905109398,0.0,1.0
2012-01-11,ONEQ,106.76,107.02,106.634,106.92,5100,9.51575073127,0.0,1.0
2012-01-12,ONEQ,108.5,108.5,105.55,107.41,5400,9.55936013885,0.0,1.0
2012-01-13,ONEQ,106.8,106.942,106.054,106.75,27500,9.50062093681,0.0,1.0
2012-01-17,ONEQ,108.15,108.15,107.5,107.59,9700,9.57537992123,0.0,1.0
2012-01-18,ONEQ,107.45,109.1,107.45,109.1,9000,9.7097680956,0.0,1.0
2012-01-19,ONEQ,109.92,110.17,109.55,109.944,9500,9.78488307519,0.0,1.0
2012-01-20,ONEQ,110.03,110.03,109.5,109.652,17900,9.75889542822,0.0,1.0
2012-01-23,ONEQ,110.57,110.594,109.39,109.62,8000,9.75604746691,0.0,1.0
2012-01-24,ONEQ,109.91,110.03,109.02,109.848,4200,9.77633919125,0.0,1.0
2012-01-25,ONEQ,111.23,111.349,109.92,111.349,5100,9.90992637651,0.0,1.0
2012-01-26,ONEQ,111.91,111.91,110.75,110.75,1600,9.85661610071,0.0,1.0
2012-01-27,ONEQ,110.8,110.82,110.5,110.82,800,9.86284601608,0.0,1.0
2012-01-30,ONEQ,110.02,111.0,109.8529,110.752,9100,9.8567940983,0.0,1.0
2012-01-31,ONEQ,111.85,111.85,110.51,111.151,12000,9.8923046159,0.0,1.0
2012-02-01,ONEQ,111.91,112.6,111.488,112.254,9100,9.99047028234,0.0,1.0
2012-02-02,ONEQ,112.37,113.0,112.36,112.591,5600,10.0204628749,0.0,1.0
2012-02-03,ONEQ,113.35,114.652,113.35,114.423,10600,10.18350866,0.0,1.0
2012-02-06,ONEQ,114.17,114.42,113.66,114.32,7500,10.1743417845,0.0,1.0
2012-02-07,ONEQ,114.03,114.704,113.86,114.519,5100,10.1920525439,0.0,1.0
2012-02-08,ONEQ,114.56,115.1692,114.232,115.1,8800,10.2437608415,0.0,1.0
2012-02-09,ONEQ,115.82,115.82,114.504,115.301,15900,10.2616495985,0.0,1.0
2012-02-10,ONEQ,120.0,120.0,113.9501,114.25,11000,10.1681118691,0.0,1.0
2012-02-13,ONEQ,114.92,115.6,114.92,115.491,7700,10.2785593687,0.0,1.0
2012-02-14,ONEQ,115.18,115.6,114.95,115.591,4600,10.2874592478,0.0,1.0
2012-02-15,ONEQ,116.78,116.78,114.84,115.016,7700,10.236284943,0.0,1.0
2012-02-16,ONEQ,114.92,116.75,114.92,116.741,7600,10.3898078575,0.0,1.0
2012-02-17,ONEQ,117.03,117.03,116.0775,116.344,10700,10.3544753374,0.0,1.0
2012-02-21,ONEQ,116.87,117.022,116.12,116.22,4900,10.3434394874,0.0,1.0
2012-02-22,ONEQ,116.03,116.26,115.64,115.711,3600,10.2981391028,0.0,1.0
2012-02-23,ONEQ,115.396,116.65,115.396,116.65,3700,10.3817089675,0.0,1.0
2012-02-24,ONEQ,117.32,117.32,116.801,116.928,15200,10.4064506314,0.0,1.0
2012-02-27,ONEQ,116.14,117.3735,115.77,117.324,18000,10.4416941526,0.0,1.0
2012-02-28,ONEQ,117.29,117.96,117.2029,117.88,10200,10.4911774804,0.0,1.0
2012-02-29,ONEQ,117.93,118.569,117.07,117.07,19200,10.4190884597,0.0,1.0
2012-03-01,ONEQ,117.71,118.386,117.5,118.05,14800,10.5063072748,0.0,1.0
2012-03-02,ONEQ,119.0,119.01,117.34,117.54,14800,10.4609178914,0.0,1.0
2012-03-05,ONEQ,117.7,117.7,116.1129,116.616,12000,10.3786830086,0.0,1.0
