date,symbol,open,high,low,close,volume,adjusted,divd,split
2012-01-03,PGF,16.25,16.33,16.161,16.3,755100,9.49855733597,0.0,1.0
2012-01-04,PGF,16.32,16.4913,16.2957,16.48,439300,9.60344938017,0.0,1.0
2012-01-05,PGF,16.47,16.71,16.41,16.68,543900,9.71999609595,0.0,1.0
2012-01-06,PGF,16.75,16.82,16.71,16.78,433200,9.77826945384,0.0,1.0
2012-01-09,PGF,16.82,16.9,16.786,16.89,375800,9.84237014751,0.0,1.0
2012-01-10,PGF,16.99,17.0,16.95,16.99,312300,9.9006435054,0.0,1.0
2012-01-11,PGF,16.98,17.02,16.95,16.97,493900,9.88898883383,0.0,1.0
2012-01-12,PGF,16.97,17.03,16.95,17.01,396000,9.91229817698,0.0,1.0
2012-01-13,PGF,16.94,16.94,16.83,16.87,382200,9.88826041685,0.0988,1.0
2012-01-17,PGF,16.91,16.9899,16.91,16.96,386700,9.94101343627,0.0,1.0
2012-01-18,PGF,16.95,17.03,16.95,17.026,323400,9.97969898384,0.0,1.0
2012-01-19,PGF,17.08,17.18,17.03,17.041,506700,9.98849115374,0.0,1.0
2012-01-20,PGF,17.06,17.13,17.01,17.12,269200,10.0347965819,0.0,1.0
2012-01-23,PGF,17.12,17.2,17.11,17.14,427600,10.0465194751,0.0,1.0
2012-01-24,PGF,16.98,17.17,16.98,17.16,222500,10.0582423683,0.0,1.0
2012-01-25,PGF,17.15,17.26,17.11,17.19,311100,10.0758267081,0.0,1.0
2012-01-26,PGF,17.3,17.33,17.23,17.29,269100,10.1344411741,0.0,1.0
2012-01-27,PGF,17.29,17.34,17.27,17.31,328900,10.1461640673,0.0,1.0
2012-01-30,PGF,17.3,17.31,17.27,17.3,213900,10.1403026207,0.0,1.0
2012-01-31,PGF,17.32,17.35,17.28,17.34,351100,10.1637484071,0.0,1.0
2012-02-01,PGF,17.45,17.45,17.35,17.42,433900,10.2106399799,0.0,1.0
2012-02-02,PGF,17.42,17.49,17.38,17.47,374900,10.2399472129,0.0,1.0
2012-02-03,PGF,17.52,17.55,17.49,17.54,558700,10.2809773392,0.0,1.0
2012-02-06,PGF,17.56,17.56,17.51,17.52,247900,10.269254446,0.0,1.0
2012-02-07,PGF,17.53,17.57,17.52,17.54,248500,10.2809773392,0.0,1.0
2012-02-08,PGF,17.58,17.62,17.57,17.6155,313200,10.325231261,0.0,1.0
2012-02-09,PGF,17.6,17.669,17.57,17.62,286200,10.327868912,0.0,1.0
2012-02-10,PGF,17.5,17.59,17.5,17.5,420900,10.2575315528,0.0,1.0
2012-02-13,PGF,17.62,17.62,17.54,17.61,272400,10.3220074654,0.0,1.0
2012-02-14,PGF,17.53,17.64,17.53,17.62,972700,10.327868912,0.0,1.0
2012-02-15,PGF,17.58,17.58,17.53,17.55,426400,10.343841354,0.0973,1.0
2012-02-16,PGF,17.56,17.6,17.46,17.56,296600,10.3497352807,0.0,1.0
2012-02-17,PGF,17.55,17.64,17.55,17.63,262000,10.3909927675,0.0,1.0
2012-02-21,PGF,17.67,17.7,17.61,17.61,354900,10.3792049141,0.0,1.0
2012-02-22,PGF,17.64,17.66,17.61,17.65,291400,10.4027806209,0.0,1.0
2012-02-23,PGF,17.65,17.72,17.65,17.72,257300,10.4440381078,0.0,1.0
2012-02-24,PGF,17.74,17.75,17.69,17.75,318900,10.4617198879,0.0,1.0
2012-02-27,PGF,17.72,17.76,17.72,17.74,517600,10.4558259612,0.0,1.0
2012-02-28,PGF,17.79,17.8391,17.76,17.82,661800,10.5029773748,0.0,1.0
2012-02-29,PGF,17.87,17.89,17.8428,17.87,337700,10.5324470083,0.0,1.0
2012-03-01,PGF,17.9,17.9,17.86,17.88,348000,10.538340935,0.0,1.0
2012-03-02,PGF,17.91,17.93,17.89,17.93,344600,10.5678105685,0.0,1.0
2012-03-05,PGF,17.91,17.93,17.8671,17.89,294000,10.5442348617,0.0,1.0
2012-03-06,PGF,17.82,17.82,17.69,17.73,446000,10.4499320345,0.0,1.0
2012-03-07,PGF,17.74,17.81,17.73,17.78,346700,10.479401668,0.0,1.0
2012-03-08,PGF,17.83,17.89,17.82,17.89,240700,10.5442348617,0.0,1.0
2012-03-09,PGF,17.88,17.94,17.88,17.91,311500,10.5560227151,0.0,1.0
2012-03-12,PGF,17.92,17.97,17.919,17.97,407000,10.5913862753,0.0,1.0
2012-03-13,PGF,17.99,18.03,17.98,18.03,336800,10.6267498354,0.0,1.0
2012-03-14,PGF,18.05,18.06,17.98,18.0,409900,10.6090680553,0.0,1.0
2012-03-15,PGF,17.9,17.92,17.86,17.88,461000,10.5949108434,0.096,1.0
2012-03-16,PGF,17.88,17.92,17.85,17.92,242500,10.6186131048,0.0,1.0
2012-03-19,PGF,17.91,17.925,17.89,17.89,349200,10.6008364088,0.0,1.0
2012-03-20,PGF,17.9,17.91,17.87,17.89,202600,10.6008364088,0.0,1.0
2012-03-21,PGF,17.89,17.94,17.88,17.9,272400,10.6067619741,0.0,1.0
2012-03-22,PGF,17.88,17.92,17.88,17.9,146400,10.6067619741,0.0,1.0
2012-03-23,PGF,17.85,17.94,17.85,17.92,201600,10.6186131048,0.0,1.0
2012-03-26,PGF,17.94,17.97,17.93,17.97,232100,10.6482409316,0.0,1.0
2012-03-27,PGF,17.95,17.98,17.94,17.96,367400,10.6423153662,0.0,1.0
2012-03-28,PGF,17.97,17.98,17.95,17.96,224400,10.6423153662,0.0,1.0
2012-03-29,PGF,17.92,17.94,17.9,17.915,238500,10.6156503221,0.0,1.0
2012-03-30,PGF,17.94,17.95,17.9,17.9,550800,10.6067619741,0.0,1.0
2012-04-02,PGF,17.89,17.95,17.88,17.93,515900,10.6245386702,0.0,1.0
2012-04-03,PGF,17.88,17.96,17.88,17.94,297500,10.6304642355,0.0,1.0
2012-04-04,PGF,17.9,17.92,17.87,17.89,505900,10.6008364088,0.0,1.0
2012-04-05,PGF,17.89,17.91,17.88,17.91,184800,10.6126875395,0.0,1.0
2012-04-09,PGF,17.83,17.8786,17.76,17.87,232700,10.5889852781,0.0,1.0
2012-04-10,PGF,17.83,17.87,17.712,17.74,486400,10.5119529285,0.0,1.0
2012-04-11,PGF,17.77,17.78,17.72,17.74,317700,10.5119529285,0.0,1.0
2012-04-12,PGF,17.73,17.91,17.73,17.91,343600,10.6126875395,0.0,1.0
2012-04-13,PGF,17.81,17.86,17.72,17.75,332600,10.5749416882,0.0963,1.0
2012-04-16,PGF,17.77,17.8,17.74,17.788,297700,10.597581,0.0,1.0
2012-04-17,PGF,17.82,17.82,17.78,17.8,304600,10.6047302563,0.0,1.0
2012-04-18,PGF,17.76,17.8,17.7,17.71,322200,10.5511108337,0.0,1.0
2012-04-19,PGF,17.75,17.77,17.7,17.7,299500,10.5451531201,0.0,1.0
2012-04-20,PGF,17.73,17.76,17.61,17.61,392800,10.4915336974,0.0,1.0
2012-04-23,PGF,17.56,17.62,17.55,17.61,897500,10.4915336974,0.0,1.0
2012-04-24,PGF,17.64,17.7,17.6,17.7,373100,10.5451531201,0.0,1.0
2012-04-25,PGF,17.75,17.78,17.71,17.78,321400,10.5928148291,0.0,1.0
2012-04-26,PGF,17.79,17.82,17.738,17.82,378900,10.6166456836,0.0,1.0
