date,symbol,open,high,low,close,volume,adjusted,divd,split
2012-01-03,SPY,127.76,128.38,127.43,127.5,193309527,105.573134323,0.0,1.0
2012-01-04,SPY,127.2,127.81,126.71,127.7,126705865,105.738739239,0.0,1.0
2012-01-05,SPY,127.01,128.23,126.43,128.04,173388995,106.020267598,0.0,1.0
2012-01-06,SPY,128.2,128.22,127.29,127.71,147337290,105.747019485,0.0,1.0
2012-01-09,SPY,128.0,128.18,127.41,128.02,99225199,106.003707106,0.0,1.0
2012-01-10,SPY,129.39,129.65,128.95,129.13,114679719,106.922814393,0.0,1.0
2012-01-11,SPY,128.73,129.37,128.52,129.2,111221979,106.980776114,0.0,1.0
2012-01-12,SPY,129.57,129.7,128.54,129.51,119120347,107.237463734,0.0,1.0
2012-01-13,SPY,128.64,129.05,127.72,128.84,179613047,106.682687264,0.0,1.0
2012-01-17,SPY,130.08,130.32,128.9,129.34,131927181,107.096699555,0.0,1.0
2012-01-18,SPY,129.31,130.84,129.08,130.77,162901737,108.280774709,0.0,1.0
2012-01-19,SPY,131.22,131.57,130.8,131.46,125972329,108.852111671,0.0,1.0
2012-01-20,SPY,131.24,131.95,130.92,131.95,138079453,109.257843717,0.0,1.0
2012-01-23,SPY,131.51,132.25,130.98,131.61,129162435,108.976315359,0.0,1.0
2012-01-24,SPY,130.8,131.5,130.6,131.46,102701099,108.852111671,0.0,1.0
2012-01-25,SPY,131.26,132.87,130.75,132.56,198222535,109.762938712,0.0,1.0
2012-01-26,SPY,133.15,133.4,131.36,131.88,184542356,109.199881996,0.0,1.0
2012-01-27,SPY,131.24,132.05,131.15,131.82,135185159,109.150200521,0.0,1.0
2012-01-30,SPY,130.51,131.44,130.06,131.37,146747212,108.777589459,0.0,1.0
2012-01-31,SPY,132.02,132.18,130.68,131.32,157082268,108.73618823,0.0,1.0
2012-02-01,SPY,132.29,133.14,132.13,132.47,165757550,109.6884165,0.0,1.0
2012-02-02,SPY,132.73,133.02,132.21,132.68,112910085,109.862301662,0.0,1.0
2012-02-03,SPY,134.0,134.62,133.77,134.54,160517202,111.402427387,0.0,1.0
2012-02-06,SPY,133.98,134.51,133.83,134.45,107517511,111.327905174,0.0,1.0
2012-02-07,SPY,134.17,135.02,133.64,134.79,135265501,111.609433532,0.0,1.0
2012-02-08,SPY,134.86,135.22,134.31,135.19,138506870,111.940643365,0.0,1.0
2012-02-09,SPY,135.41,135.59,134.56,135.36,148313299,112.081407545,0.0,1.0
2012-02-10,SPY,134.16,134.47,133.84,134.36,167753903,111.253382962,0.0,1.0
2012-02-13,SPY,135.32,135.52,134.74,135.36,115201853,112.081407545,0.0,1.0
2012-02-14,SPY,135.0,135.27,134.25,135.19,165300175,111.940643365,0.0,1.0
2012-02-15,SPY,135.63,135.83,134.29,134.56,194497951,111.418987878,0.0,1.0
2012-02-16,SPY,134.57,136.17,134.33,136.05,186193854,112.652744507,0.0,1.0
2012-02-17,SPY,136.52,136.63,135.96,136.41,129075063,112.950833357,0.0,1.0
2012-02-21,SPY,136.73,137.05,136.05,136.47,133899477,113.000514832,0.0,1.0
2012-02-22,SPY,136.26,136.55,135.79,136.03,123997265,112.636184015,0.0,1.0
2012-02-23,SPY,135.96,136.73,135.5,136.63,137488236,113.132998765,0.0,1.0
2012-02-24,SPY,136.93,137.2,136.63,136.93,105474533,113.38140614,0.0,1.0
2012-02-27,SPY,136.02,137.53,135.8,137.16,145563368,113.571851794,0.0,1.0
2012-02-28,SPY,137.2,137.72,136.93,137.56,129145619,113.903061627,0.0,1.0
2012-02-29,SPY,137.76,138.19,136.54,137.02,185615627,113.455928352,0.0,1.0
2012-03-01,SPY,137.31,137.99,136.93,137.73,144742785,114.043825806,0.0,1.0
2012-03-02,SPY,137.64,137.82,137.0,137.31,120536666,113.696055481,0.0,1.0
2012-03-05,SPY,137.1,137.2,136.28,136.75,140544479,113.232361715,0.0,1.0
2012-03-06,SPY,135.35,135.43,134.36,134.75,201787583,111.576312549,0.0,1.0
2012-03-07,SPY,135.06,135.91,134.93,135.69,143600783,112.354655657,0.0,1.0
2012-03-08,SPY,136.52,137.32,136.24,137.04,116712098,113.472488844,0.0,1.0
2012-03-09,SPY,137.3,137.93,137.13,137.57,122808966,113.911341873,0.0,1.0
2012-03-12,SPY,137.55,137.76,137.09,137.58,103873080,113.919622119,0.0,1.0
2012-03-13,SPY,138.32,140.13,138.09,140.06,183032814,115.973123084,0.0,1.0
2012-03-14,SPY,140.1,140.45,139.48,139.91,145034209,115.848919397,0.0,1.0
2012-03-15,SPY,140.12,140.78,139.76,140.72,164882424,116.519619309,0.0,1.0
2012-03-16,SPY,140.36,140.48,140.0,140.3,151779966,116.680164995,0.6139,1.0
2012-03-19,SPY,140.21,141.28,140.11,140.85,125211330,117.137571202,0.0,1.0
2012-03-20,SPY,140.05,140.61,139.64,140.44,121629293,116.796595666,0.0,1.0
2012-03-21,SPY,140.52,140.65,139.92,140.21,122251226,116.605316707,0.0,1.0
2012-03-22,SPY,139.18,139.55,138.74,139.2,135040700,115.765352583,0.0,1.0
2012-03-23,SPY,139.32,139.81,138.55,139.65,120400107,116.139594024,0.0,1.0
2012-03-26,SPY,140.65,141.61,140.6,141.61,119477129,117.769623414,0.0,1.0
2012-03-27,SPY,141.74,141.83,141.08,141.17,119584541,117.403698449,0.0,1.0
2012-03-28,SPY,141.1,141.32,139.64,140.47,148434044,116.821545096,0.0,1.0
2012-03-29,SPY,139.64,140.49,139.09,140.23,164884702,116.62194966,0.0,1.0
2012-03-30,SPY,140.92,141.05,140.05,140.81,135353643,117.104305296,0.0,1.0
2012-04-02,SPY,140.64,142.21,140.36,141.84,151598615,117.960902373,0.0,1.0
2012-04-03,SPY,141.64,141.88,140.43,141.26,155717384,117.478546737,0.0,1.0
2012-04-04,SPY,140.22,140.34,139.34,139.86,146781144,116.31424003,0.0,1.0
2012-04-05,SPY,139.38,140.2,139.26,139.79,137161910,116.256024695,0.0,1.0
2012-04-09,SPY,138.03,139.84,137.84,138.22,127440839,114.950337888,0.0,1.0
2012-04-10,SPY,137.95,138.34,135.76,135.9,235129361,113.020915345,0.0,1.0
2012-04-11,SPY,137.29,137.54,136.75,137.0,153297439,113.935727757,0.0,1.0
2012-04-12,SPY,137.13,138.9,137.03,138.79,153603844,115.424377047,0.0,1.0
2012-04-13,SPY,138.47,138.82,137.01,137.14,169047929,114.052158428,0.0,1.0
2012-04-16,SPY,137.84,138.04,136.58,137.05,147707377,113.97731014,0.0,1.0
2012-04-17,SPY,137.84,139.36,137.7,139.08,147627266,115.665554865,0.0,1.0
2012-04-18,SPY,138.46,139.08,138.38,138.61,122743959,115.274680471,0.0,1.0
2012-04-19,SPY,138.63,139.15,137.07,137.72,198512320,114.534514064,0.0,1.0
2012-04-20,SPY,138.33,138.83,137.87,137.95,142867082,114.725793023,0.0,1.0
