date,symbol,open,high,low,close,volume,adjusted,divd,split,source,recordDate
2000-05-26,IWF,78.1875,78.1875,78.140625,78.140625,10300,60.7537012306822,0.0,1,yahoo,2023-03-30 19:18:25
2000-05-30,IWF,79.484375,79.625,79.484375,79.625,1100,61.907790736164074,0.0,1,yahoo,2023-03-30 19:18:25
2000-05-31,IWF,80.96875,82.09375,80.96875,82.09375,1000,63.82722380843917,0.0,1,yahoo,2023-03-30 19:18:25
2000-06-01,IWF,82.046875,83.1875,82.046875,82.875,5200,64.43463933764015,0.0,1,yahoo,2023-03-30 19:18:25
2000-06-02,IWF,85.515625,85.890625,85.234375,85.890625,8000,66.77926328035595,0.0,1,yahoo,2023-03-30 19:18:25
2000-06-05,IWF,85.125,86.0,85.125,85.390625,20400,66.39051734166732,0.0,1,yahoo,2023-03-30 19:18:25
2000-06-06,IWF,85.375,85.671875,85.375,85.609375,400,66.56059368984359,0.0,1,yahoo,2023-03-30 19:18:25
2000-06-07,IWF,84.40625,85.28125,84.40625,85.28125,1200,66.30547916757918,0.0,1,yahoo,2023-03-30 19:18:25
2000-06-08,IWF,85.625,85.640625,84.75,84.75,13400,65.89243660772252,0.0,1,yahoo,2023-03-30 19:18:25
2000-06-09,IWF,85.65625,85.65625,85.046875,85.046875,1700,66.12325450881889,0.0,1,yahoo,2023-03-30 19:18:25
2000-06-12,IWF,85.296875,85.375,83.859375,83.859375,3800,65.1999829044334,0.0,1,yahoo,2023-03-30 19:18:25
2000-06-13,IWF,83.21875,85.296875,83.21875,85.296875,7600,66.3176274781632,0.0,1,yahoo,2023-03-30 19:18:25
2000-06-14,IWF,85.9375,85.9375,85.5625,85.5625,600,66.52414875809153,0.0,1,yahoo,2023-03-30 19:18:25
2000-06-15,IWF,85.5,85.5,85.5,85.5,2600,66.47555551575546,0.0,1,yahoo,2023-03-30 19:18:25
2000-06-16,IWF,86.515625,86.828125,85.90625,85.9375,282100,66.815708212108,0.0,1,yahoo,2023-03-30 19:18:25
2000-06-19,IWF,86.15625,88.0,86.15625,88.0,9500,68.41928520919859,0.0,1,yahoo,2023-03-30 19:18:25
2000-06-20,IWF,87.953125,88.171875,87.46875,87.59375,111700,68.10342913401409,0.0,1,yahoo,2023-03-30 19:18:25
2000-06-21,IWF,87.4375,88.0,87.21875,87.6875,16100,68.20045558401101,0.031,1,yahoo,2023-03-30 19:18:25
