date,symbol,open,high,low,close,volume,adjusted,divd,split,source,recordDate
1998-01-20,DIA,77.8125,78.84375,77.40625,78.8125,1744600,47.45842392010549,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-01-21,DIA,78.09375,78.375,77.28125,77.84375,1839600,46.87507295201537,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-01-22,DIA,77.1875,77.859375,76.9375,77.1875,1662600,46.47989971556723,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-01-23,DIA,77.5,77.75,76.3125,77.0,1693700,46.36699307658205,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-01-26,DIA,77.375,77.671875,76.9375,77.3125,1172800,46.55517080822402,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-01-27,DIA,77.125,78.5625,77.078125,78.21875,1454500,47.10088622998574,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-01-28,DIA,78.375,79.234375,78.21875,79.125,1181200,47.64660165174746,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-01-29,DIA,79.0625,80.25,78.890625,79.40625,1468500,47.81596161022524,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-01-30,DIA,79.9375,79.9375,78.96875,79.234375,1095600,47.71246385782215,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-02-02,DIA,80.625,81.3125,80.40625,81.015625,955600,48.7850769281814,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-02-03,DIA,81.0,81.671875,80.65625,81.65625,619400,49.17084127804744,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-02-04,DIA,81.21875,81.65625,80.8125,81.21875,753200,48.90739245374868,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-02-05,DIA,81.8125,81.90625,80.734375,81.234375,1067600,48.91680134033078,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-02-06,DIA,81.5,82.171875,81.359375,82.109375,1069700,49.4436989889283,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-02-09,DIA,82.09375,82.25,81.4375,81.78125,515900,49.246112370704225,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-02-10,DIA,82.03125,83.34375,81.921875,83.15625,892100,50.07409438992891,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-02-11,DIA,82.96875,83.390625,82.84375,83.15625,515000,50.07409438992891,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-02-12,DIA,82.734375,84.109375,82.375,83.6875,1065000,50.39399653372026,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-02-13,DIA,83.34375,83.84375,83.171875,83.640625,596700,50.36576987397397,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-02-17,DIA,84.3125,84.71875,83.890625,84.0625,840600,50.61980981169063,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-02-18,DIA,84.078125,84.703125,83.84375,84.625,773000,50.95852972864618,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-02-19,DIA,84.640625,84.703125,83.828125,83.828125,804800,50.47867651295915,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-02-20,DIA,84.078125,84.46875,83.3125,84.28125,540600,50.75153422384001,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-02-23,DIA,85.0,85.0,83.96875,84.25,639200,50.73271645067581,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-02-24,DIA,84.125,84.40625,83.53125,84.0,702700,50.582174265362234,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-02-25,DIA,84.25,85.15625,84.078125,84.6875,687400,50.99616527497457,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-02-26,DIA,84.609375,85.21875,84.40625,85.15625,439800,51.27843187243753,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-02-27,DIA,85.109375,85.953125,84.890625,85.59375,451300,51.54188069673629,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-03-02,DIA,85.75,85.859375,85.28125,85.71875,1062800,51.617151789393084,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-03-03,DIA,85.21875,86.125,85.1875,86.109375,596600,51.852373953945545,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-03-04,DIA,85.625,85.875,85.109375,85.53125,691700,51.5042451504079,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-03-05,DIA,84.5,85.265625,84.21875,84.78125,778300,51.05261859446716,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-03-06,DIA,85.09375,86.03125,85.09375,86.03125,933100,51.805329521035056,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-03-09,DIA,85.625,86.578125,85.59375,85.875,685300,51.71124065521407,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-03-10,DIA,86.375,86.75,86.15625,86.71875,563700,52.219320530647394,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-03-11,DIA,86.9375,87.234375,86.734375,87.0,406600,52.38868048912517,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-03-12,DIA,86.9375,87.0625,86.3125,86.890625,576700,52.32281828305048,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-03-13,DIA,87.1875,87.25,86.09375,86.15625,458900,51.88060061369185,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-03-16,DIA,86.5625,87.46875,86.34375,87.46875,733000,52.67094708658813,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-03-17,DIA,87.28125,87.78125,87.078125,87.765625,499900,52.84971593164801,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-03-18,DIA,87.59375,88.015625,87.28125,87.984375,410900,52.98144034379738,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-03-19,DIA,88.0,88.296875,87.84375,88.234375,730000,53.131982529110964,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-03-20,DIA,88.5625,89.40625,88.28125,89.15625,754300,53.68710683745478,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-03-23,DIA,89.1875,89.1875,88.390625,88.484375,551600,53.28252471442454,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-03-24,DIA,88.96875,89.859375,88.921875,89.4375,470300,53.856466795932555,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-03-25,DIA,90.0625,90.0625,88.25,88.875,966200,53.51774687897701,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-03-26,DIA,88.84375,89.296875,88.515625,88.625,412800,53.367204693663425,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-03-27,DIA,89.34375,89.40625,87.875,88.265625,584100,53.15080030227516,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-03-30,DIA,88.28125,88.5625,87.6875,88.15625,562400,53.08493809620047,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-03-31,DIA,88.46875,89.3125,88.0625,88.1875,620000,53.10375586936467,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-04-01,DIA,88.359375,89.203125,87.71875,88.9375,373700,53.5553824253054,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-04-02,DIA,88.90625,90.25,88.828125,90.15625,440600,54.289275578709095,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-04-03,DIA,90.25,90.578125,89.8125,90.09375,493300,54.2516400323807,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-04-06,DIA,90.875,91.25,90.34375,90.375,610500,54.420999990858476,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-04-07,DIA,90.375,90.390625,89.25,89.890625,707300,54.12932450681342,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-04-08,DIA,90.0625,90.0625,88.828125,89.28125,949500,53.76237793011157,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-04-09,DIA,89.65625,90.46875,89.625,90.375,451700,54.420999990858476,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-04-13,DIA,90.734375,90.734375,89.5625,90.34375,337900,54.402182217694275,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-04-14,DIA,90.53125,91.515625,90.53125,91.4375,451500,55.06080427844118,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-04-15,DIA,91.65625,92.015625,91.203125,92.015625,261800,55.40893308197883,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-04-16,DIA,91.703125,91.703125,90.796875,91.0625,232800,54.834991000470815,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-04-17,DIA,90.734375,91.75,90.578125,91.703125,382900,55.427705741024006,0.34,1.0,yahoo,2024-02-22 18:59:09
1998-04-20,DIA,91.59375,91.65625,91.0,91.296875,299400,55.18215788802237,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-04-21,DIA,91.25,91.921875,90.96875,91.90625,372000,55.550479667524826,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-04-22,DIA,91.859375,92.109375,91.6875,91.84375,503400,55.51270307475534,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-04-23,DIA,91.71875,92.03125,91.109375,91.3125,597700,55.19160203621474,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-04-24,DIA,91.21875,91.5625,90.0625,90.546875,820200,54.72883877478857,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-04-27,DIA,89.4375,89.875,88.390625,89.25,1916800,53.9449744748218,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-04-28,DIA,90.03125,90.125,88.65625,88.984375,437200,53.784423955551496,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-04-29,DIA,89.28125,89.953125,88.921875,89.421875,298700,54.04886010493787,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-04-30,DIA,90.328125,91.3125,90.21875,90.875,443100,54.927165886828355,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-05-01,DIA,91.09375,91.65625,90.8125,91.65625,338300,55.399373296446896,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-05-04,DIA,91.984375,92.578125,91.8125,91.8125,542500,55.493814778370606,0.0,1.0,yahoo,2024-02-22 18:59:09
1998-05-05,DIA,91.5,91.859375,90.96875,91.484375,325600,55.295487666330814,0.0,1.0,yahoo,2024-02-22 18:59:09
