date,symbol,open,high,low,close,volume,adjusted,divd,split,source,recordDate
1998-12-22,XLB,20.78125,20.828125,20.75,20.828125,1900,12.579892602383504,0.0,1.0,yahoo,2024-02-22 18:59:06
1998-12-23,XLB,20.96875,21.140625,20.96875,21.046875,700,12.71201450518423,0.0,1.0,yahoo,2024-02-22 18:59:06
1998-12-24,XLB,21.296875,21.53125,21.203125,21.53125,1500,13.004570147100127,0.0,1.0,yahoo,2024-02-22 18:59:06
1998-12-28,XLB,21.5,21.5,21.3125,21.34375,2500,12.89132280184236,0.0,1.0,yahoo,2024-02-22 18:59:06
1998-12-29,XLB,21.734375,21.734375,21.734375,21.734375,100,13.127254771129373,0.0,1.0,yahoo,2024-02-22 18:59:06
1998-12-30,XLB,21.71875,21.71875,21.671875,21.671875,800,13.08950565604345,0.0,1.0,yahoo,2024-02-22 18:59:06
1998-12-31,XLB,21.859375,22.0,21.859375,21.921875,3300,13.24050211638714,0.0,1.0,yahoo,2024-02-22 18:59:06
1999-01-04,XLB,21.9375,22.25,21.65625,21.65625,13000,13.08006837727197,0.0,1.0,yahoo,2024-02-22 18:59:06
1999-01-05,XLB,21.859375,22.296875,21.859375,22.1875,4400,13.400935855502308,0.0,1.0,yahoo,2024-02-22 18:59:06
1999-01-06,XLB,22.328125,22.578125,22.21875,22.578125,12900,13.63686782478932,0.0,1.0,yahoo,2024-02-22 18:59:06
1999-01-07,XLB,22.46875,23.390625,22.328125,22.40625,86200,13.533057758303034,0.0,1.0,yahoo,2024-02-22 18:59:06
1999-01-08,XLB,22.609375,23.171875,22.609375,23.171875,25200,13.995484418105578,0.0,1.0,yahoo,2024-02-22 18:59:06
1999-01-11,XLB,23.1875,23.21875,23.0,23.21875,14200,14.02379625442002,0.0,1.0,yahoo,2024-02-22 18:59:06
1999-01-12,XLB,23.015625,23.125,22.578125,22.625,5100,13.66517966110376,0.0,1.0,yahoo,2024-02-22 18:59:06
1999-01-13,XLB,21.953125,22.375,21.953125,22.125,5500,13.363186740416385,0.0,1.0,yahoo,2024-02-22 18:59:06
1999-01-14,XLB,22.1875,22.21875,21.5625,21.75,127300,13.136692049900853,0.0,1.0,yahoo,2024-02-22 18:59:06
1999-01-15,XLB,22.0,22.078125,21.890625,22.078125,15800,13.334874904101943,0.0,1.0,yahoo,2024-02-22 18:59:06
1999-01-19,XLB,22.0,22.0,21.515625,21.671875,26700,13.08950565604345,0.0,1.0,yahoo,2024-02-22 18:59:06
1999-01-20,XLB,21.671875,21.828125,21.578125,21.59375,40900,13.042319262186048,0.0,1.0,yahoo,2024-02-22 18:59:06
1999-01-21,XLB,21.59375,21.625,21.390625,21.5,59900,12.985695589557166,0.0,1.0,yahoo,2024-02-22 18:59:06
1999-01-22,XLB,21.28125,21.359375,21.046875,21.078125,7000,12.730889062727192,0.0,1.0,yahoo,2024-02-22 18:59:06
1999-01-25,XLB,21.296875,21.5,21.21875,21.5,29300,12.985695589557166,0.0,1.0,yahoo,2024-02-22 18:59:06
1999-01-26,XLB,21.421875,21.4375,21.1875,21.4375,1800,12.947946474471243,0.0,1.0,yahoo,2024-02-22 18:59:06
1999-01-27,XLB,21.828125,21.828125,21.265625,21.265625,15100,12.844136407984958,0.0,1.0,yahoo,2024-02-22 18:59:06
1999-01-28,XLB,21.390625,21.390625,21.0,21.0,6800,12.683702668869788,0.0,1.0,yahoo,2024-02-22 18:59:06
1999-01-29,XLB,20.953125,21.109375,20.953125,21.109375,400,12.749763620270153,0.0,1.0,yahoo,2024-02-22 18:59:06
1999-02-01,XLB,21.28125,21.5,21.28125,21.28125,2900,12.853573686756437,0.0,1.0,yahoo,2024-02-22 18:59:06
1999-02-02,XLB,21.203125,21.375,21.1875,21.296875,2800,12.863010965527918,0.0,1.0,yahoo,2024-02-22 18:59:06
