date,symbol,open,high,low,close,volume,adjusted,divd,split,source,recordDate
1998-12-22,XLV,24.8125,25.0625,24.8125,25.03125,5700,18.126956804993906,0.0,1.0,yahoo,2024-02-22 18:59:07
1998-12-23,XLV,25.1875,25.59375,25.1875,25.59375,18100,18.534304148926353,0.0,1.0,yahoo,2024-02-22 18:59:07
1998-12-24,XLV,25.625,25.75,25.515625,25.75,4900,18.647456188907586,0.0,1.0,yahoo,2024-02-22 18:59:07
1998-12-28,XLV,25.671875,25.75,25.375,25.375,15500,18.375891292952623,0.0,1.0,yahoo,2024-02-22 18:59:07
1998-12-29,XLV,25.375,25.9375,25.375,25.9375,5300,18.78323863688507,0.0,1.0,yahoo,2024-02-22 18:59:07
1998-12-30,XLV,26.0,26.03125,25.71875,25.71875,17300,18.62482578091134,0.0,1.0,yahoo,2024-02-22 18:59:07
1998-12-31,XLV,25.8125,26.0,25.75,26.0,6600,18.828499452877566,0.0,1.0,yahoo,2024-02-22 18:59:07
1999-01-04,XLV,26.25,26.375,25.78125,25.9375,249200,18.78323863688507,0.0,1.0,yahoo,2024-02-22 18:59:07
1999-01-05,XLV,26.0,26.34375,26.0,26.34375,4400,19.077433940836283,0.0,1.0,yahoo,2024-02-22 18:59:07
1999-01-06,XLV,26.53125,26.78125,26.46875,26.78125,38500,19.39425965278374,0.0,1.0,yahoo,2024-02-22 18:59:07
1999-01-07,XLV,26.53125,26.6875,26.34375,26.65625,15900,19.303738020798754,0.0,1.0,yahoo,2024-02-22 18:59:07
1999-01-08,XLV,26.71875,26.984375,26.71875,26.984375,24400,19.541357304759348,0.0,1.0,yahoo,2024-02-22 18:59:07
1999-01-11,XLV,26.96875,27.25,26.8125,27.046875,7700,19.58661812075184,0.0,1.0,yahoo,2024-02-22 18:59:07
1999-01-12,XLV,27.125,27.25,26.90625,26.9375,270700,19.507411692764975,0.0,1.0,yahoo,2024-02-22 18:59:07
1999-01-13,XLV,25.78125,26.875,25.78125,26.6875,7100,19.326368428795,0.0,1.0,yahoo,2024-02-22 18:59:07
1999-01-14,XLV,26.78125,26.859375,26.375,26.46875,12200,19.16795557282127,0.0,1.0,yahoo,2024-02-22 18:59:07
1999-01-15,XLV,26.5625,26.90625,26.5625,26.828125,7700,19.42820526477811,0.0,1.0,yahoo,2024-02-22 18:59:07
