date,symbol,open,high,low,close,volume,adjusted,divd,split,source,recordDate
2011-09-29,XSW,25.399999618530273,25.399999618530273,24.7450008392334,24.7450008392334,12000,22.5842445581158,0.0,1.0,yahoo,2024-02-22 18:59:10
2011-09-30,XSW,24.7450008392334,24.7450008392334,24.7450008392334,24.7450008392334,0,22.5842445581158,0.0,1.0,yahoo,2024-02-22 18:59:10
2011-10-03,XSW,24.7450008392334,24.7450008392334,24.7450008392334,24.7450008392334,0,22.5842445581158,0.0,1.0,yahoo,2024-02-22 18:59:10
2011-10-04,XSW,23.975000381469727,23.975000381469727,23.975000381469727,23.975000381469727,4000,21.88148125004494,0.0,1.0,yahoo,2024-02-22 18:59:10
2011-10-05,XSW,24.809999465942383,24.924999237060547,24.809999465942383,24.924999237060547,2400,22.74852532993748,0.0,1.0,yahoo,2024-02-22 18:59:10
2011-10-06,XSW,25.375,25.5,25.28499984741211,25.5,5000,23.273316496270294,0.0,1.0,yahoo,2024-02-22 18:59:10
2011-10-07,XSW,25.5,25.5,25.5,25.5,0,23.273316496270294,0.0,1.0,yahoo,2024-02-22 18:59:10
2011-10-10,XSW,26.0,26.0,26.0,26.0,200,23.729656035412848,0.0,1.0,yahoo,2024-02-22 18:59:10
2011-10-11,XSW,26.0,26.0,26.0,26.0,0,23.729656035412848,0.0,1.0,yahoo,2024-02-22 18:59:10
2011-10-12,XSW,26.5049991607666,26.725000381469727,26.5049991607666,26.700000762939453,6200,24.3685320865313,0.0,1.0,yahoo,2024-02-22 18:59:10
2011-10-13,XSW,26.700000762939453,26.700000762939453,26.700000762939453,26.700000762939453,0,24.3685320865313,0.0,1.0,yahoo,2024-02-22 18:59:10
2011-10-14,XSW,27.024999618530273,27.024999618530273,27.024999618530273,27.024999618530273,200,24.665151742495645,0.0,1.0,yahoo,2024-02-22 18:59:10
2011-10-17,XSW,26.829999923706055,26.829999923706055,26.829999923706055,26.829999923706055,200,24.4871796007576,0.0,1.0,yahoo,2024-02-22 18:59:10
2011-10-18,XSW,26.770000457763672,27.385000228881836,26.729999542236328,27.385000228881836,26200,24.99371676773339,0.0,1.0,yahoo,2024-02-22 18:59:10
2011-10-19,XSW,27.385000228881836,27.385000228881836,27.385000228881836,27.385000228881836,0,24.99371676773339,0.0,1.0,yahoo,2024-02-22 18:59:10
2011-10-20,XSW,27.385000228881836,27.385000228881836,27.385000228881836,27.385000228881836,0,24.99371676773339,0.0,1.0,yahoo,2024-02-22 18:59:10
2011-10-21,XSW,27.125,27.125,27.125,27.125,400,24.756419998483597,0.0,1.0,yahoo,2024-02-22 18:59:10
