date,symbol,open,high,low,close,volume,adjusted,divd,split
2012-01-03,PSJ,23.8,23.89,23.46,23.46,6400,23.3408775707,0.0,1.0
2012-01-04,PSJ,23.16,23.2199,23.11,23.13,5100,23.0125532059,0.0,1.0
2012-01-05,PSJ,23.08,23.12,22.94,23.072,800,22.9548477114,0.0,1.0
2012-01-06,PSJ,23.32,23.4,23.1212,23.22,8200,23.1020962145,0.0,1.0
2012-01-09,PSJ,23.19,23.24,23.0535,23.17,45600,23.0523500986,0.0,1.0
2012-01-10,PSJ,23.35,23.53,23.35,23.47,13600,23.3508267939,0.0,1.0
2012-01-11,PSJ,23.47,23.64,23.47,23.6,10200,23.4801666951,0.0,1.0
2012-01-12,PSJ,23.6,23.6,23.54,23.57,104000,23.4503190256,0.0,1.0
2012-01-13,PSJ,23.38,23.38,23.08,23.206,3200,23.088167302,0.0,1.0
2012-01-17,PSJ,23.33,23.4505,23.26,23.31,5800,23.191639223,0.0,1.0
2012-01-18,PSJ,23.31,23.76,23.31,23.76,6400,23.639354266,0.0,1.0
2012-01-19,PSJ,23.95,24.1,23.9393,24.09,6300,23.9676786308,0.0,1.0
2012-01-20,PSJ,24.22,24.5,24.22,24.3648,3000,24.2410832836,0.0,1.0
2012-01-23,PSJ,24.44,24.44,24.11,24.22,7200,24.097018532,0.0,1.0
2012-01-24,PSJ,24.24,24.53,24.24,24.49,4500,24.3656475578,0.0,1.0
2012-01-25,PSJ,24.52,24.7,24.37,24.67,8600,24.544733575,0.0,1.0
2012-01-26,PSJ,24.7,24.8204,24.48,24.54,5600,24.4153936737,0.0,1.0
2012-01-27,PSJ,24.51,24.78,24.51,24.75,3800,24.6243273604,0.0,1.0
2012-01-30,PSJ,24.4,24.63,24.4,24.51,3600,24.3855460041,0.0,1.0
2012-01-31,PSJ,24.63,24.6975,24.46,24.63,12000,24.5049366823,0.0,1.0
2012-02-01,PSJ,24.66,25.0415,24.59,25.03,10300,24.9029056093,0.0,1.0
2012-02-02,PSJ,25.1,25.42,25.1,25.219,8000,25.0909459273,0.0,1.0
2012-02-03,PSJ,25.5,25.81,25.5,25.81,2000,25.678945017,0.0,1.0
2012-02-06,PSJ,25.74,25.81,25.5899,25.61,11200,25.4799605535,0.0,1.0
2012-02-07,PSJ,25.67,25.75,25.62,25.7,51000,25.5695035621,0.0,1.0
2012-02-08,PSJ,25.76,25.92,25.674,25.899,8500,25.7674931033,0.0,1.0
2012-02-09,PSJ,25.98,26.08,25.89,26.04,9400,25.9077771501,0.0,1.0
2012-02-10,PSJ,25.76,25.83,25.715,25.75,4000,25.619249678,0.0,1.0
2012-02-13,PSJ,26.01,26.07,25.98,26.02,6300,25.8878787037,0.0,1.0
2012-02-14,PSJ,25.85,25.98,25.85,25.98,4800,25.848081811,0.0,1.0
2012-02-15,PSJ,26.05,26.114,25.846,25.88,9700,25.7485895792,0.0,1.0
2012-02-16,PSJ,25.91,26.2,25.8539,26.2,13000,26.0669647209,0.0,1.0
2012-02-17,PSJ,26.15,26.15,25.9176,25.986,5500,25.8540513449,0.0,1.0
2012-02-21,PSJ,25.99,26.1899,25.86,25.86,8300,25.7286911329,0.0,1.0
2012-02-22,PSJ,26.01,26.34,26.01,26.303,3000,26.1694417196,0.0,1.0
2012-02-23,PSJ,26.47,26.55,26.41,26.52,5200,26.3853398625,0.0,1.0
2012-02-24,PSJ,26.57,26.66,26.5101,26.54,297200,26.4052383089,0.0,1.0
2012-02-27,PSJ,26.44,26.65,26.17,26.554,10700,26.4191672213,0.0,1.0
2012-02-28,PSJ,26.52,26.608,26.3205,26.34,2900,26.2062538453,0.0,1.0
2012-02-29,PSJ,26.469,26.469,26.02,26.02,7600,25.8878787037,0.0,1.0
2012-03-01,PSJ,26.05,26.33,26.05,26.154,4300,26.0211982943,0.0,1.0
2012-03-02,PSJ,26.16,26.206,25.9,25.9701,1800,25.8382320801,0.0,1.0
2012-03-05,PSJ,25.95,26.008,25.811,25.924,4500,25.7923661612,0.0,1.0
2012-03-06,PSJ,25.8,25.8,25.53,25.63,4100,25.4998589998,0.0,1.0
2012-03-07,PSJ,25.73,25.9975,25.73,25.9975,2600,25.8654929516,0.0,1.0
2012-03-08,PSJ,26.0801,26.29,26.0801,26.266,3000,26.1326295938,0.0,1.0
2012-03-09,PSJ,26.2735,26.53,26.244,26.44,21700,26.3057460771,0.0,1.0
2012-03-12,PSJ,26.45,26.5,26.35,26.42,4200,26.2858476307,0.0,1.0
2012-03-13,PSJ,26.48,26.76,26.472,26.76,9700,26.6241212187,0.0,1.0
2012-03-14,PSJ,26.79,26.79,26.6005,26.63,1800,26.4947813174,0.0,1.0
2012-03-15,PSJ,26.73,26.92,26.72,26.91,2900,26.7733595664,0.0,1.0
2012-03-16,PSJ,26.89,26.93,26.854,26.854,3400,26.7176439166,0.0,1.0
2012-03-19,PSJ,26.78,27.07,26.71,26.95,12300,26.8131564591,0.0,1.0
2012-03-20,PSJ,26.675,26.778,26.59,26.778,1100,26.6420298204,0.0,1.0
2012-03-21,PSJ,26.78,26.78,26.78,26.78,0,26.6440196651,0.0,1.0
2012-03-22,PSJ,26.7,26.71,26.6,26.6593,7200,26.5239325413,0.0,1.0
2012-03-23,PSJ,26.6075,26.87,26.6075,26.87,2600,26.7335626737,0.0,1.0
2012-03-26,PSJ,27.04,27.36,27.04,27.34,11600,27.2011761629,0.0,1.0
2012-03-27,PSJ,27.42,27.42,27.18,27.18,1800,27.0419885921,0.0,1.0
2012-03-28,PSJ,27.12,27.138,26.956,26.982,2200,26.8449939732,0.0,1.0
2012-03-29,PSJ,26.884,26.99,26.87,26.99,2300,26.8529533518,0.0,1.0
2012-03-30,PSJ,27.02,27.02,26.86,26.96,3100,26.8231056822,0.0,1.0
2012-04-02,PSJ,26.83,27.1706,26.69,27.166,3100,27.0280596797,0.0,1.0
2012-04-03,PSJ,27.18,27.18,26.916,27.01,2600,26.8728517981,0.0,1.0
2012-04-04,PSJ,26.46,26.63,26.46,26.59,5300,26.4549844247,0.0,1.0
2012-04-05,PSJ,26.52,26.7,26.52,26.7,2600,26.5644258797,0.0,1.0
2012-04-09,PSJ,26.37,26.41,26.15,26.41,5300,26.2758984076,0.0,1.0
2012-04-10,PSJ,26.07,26.07,25.81,25.82,4600,25.6888942402,0.0,1.0
2012-04-11,PSJ,26.01,26.25,26.01,26.25,3900,26.1167108368,0.0,1.0
2012-04-12,PSJ,26.23,26.539,26.23,26.506,3800,26.3714109501,0.0,1.0
2012-04-13,PSJ,26.37,26.41,26.23,26.24,6200,26.1067616136,0.0,1.0
2012-04-16,PSJ,26.0,26.37,26.0,26.22,2300,26.0868631672,0.0,1.0
2012-04-17,PSJ,26.34,26.7701,26.34,26.73,3400,26.5942735492,0.0,1.0
2012-04-18,PSJ,26.49,26.589,26.48,26.589,1800,26.4539895024,0.0,1.0
2012-04-19,PSJ,26.6199,26.79,26.322,26.322,1500,26.1883452436,0.0,1.0
2012-04-20,PSJ,26.83,26.922,26.64,26.64,1300,26.5047305406,0.0,1.0
2012-04-23,PSJ,26.36,26.36,26.02,26.259,10200,26.1256651376,0.0,1.0
2012-04-24,PSJ,26.17,26.17,26.0,26.0,2100,25.8679802574,0.0,1.0
2012-04-25,PSJ,26.39,26.55,26.39,26.55,3000,26.415187532,0.0,1.0
2012-04-26,PSJ,26.65,27.005,26.65,27.0,6900,26.8629025749,0.0,1.0
2012-04-27,PSJ,26.9,27.088,26.82,27.008,5000,26.8708619535,0.0,1.0
2012-04-30,PSJ,27.05,27.05,26.841,26.89,2800,26.75346112,0.0,1.0
2012-05-01,PSJ,27.2599,27.39,27.228,27.228,2800,27.0897448634,0.0,1.0
2012-05-02,PSJ,26.865,27.2099,26.865,27.1101,3300,26.9724435221,0.0,1.0
2012-05-03,PSJ,27.1699,27.1699,26.81,26.824,1100,26.687796247,0.0,1.0
2012-05-04,PSJ,26.42,26.51,26.419,26.51,1500,26.3753906393,0.0,1.0
2012-05-07,PSJ,26.4001,26.486,26.2905,26.4187,2800,26.2845542317,0.0,1.0
2012-05-08,PSJ,26.06,26.1,25.86,26.1,1400,25.9674724891,0.0,1.0
2012-05-09,PSJ,26.0,26.414,26.0,26.414,7200,26.2798780968,0.0,1.0
2012-05-10,PSJ,26.43,26.43,26.17,26.17,4600,26.0371170513,0.0,1.0
2012-05-11,PSJ,26.4245,26.43,26.3,26.3,2200,26.1664569526,0.0,1.0
2012-05-14,PSJ,26.1,26.16,26.032,26.09,3800,25.9575232659,0.0,1.0
2012-05-15,PSJ,26.13,26.49,26.13,26.24,16000,26.1067616136,0.0,1.0
2012-05-16,PSJ,26.33,26.33,26.0,26.0,6800,25.8679802574,0.0,1.0
2012-05-17,PSJ,25.8886,25.89,25.59,25.808,3600,25.6769551724,0.0,1.0
2012-05-18,PSJ,25.55,25.65,25.2,25.2,27600,25.0720424033,0.0,1.0
2012-05-21,PSJ,25.21,25.732,24.91,25.65,5600,25.5197574462,0.0,1.0
2012-05-22,PSJ,25.73,25.96,25.73,25.79,7600,25.6590465707,0.0,1.0
2012-05-23,PSJ,25.48,26.022,25.48,25.92,9400,25.7883864719,0.0,1.0
2012-05-24,PSJ,25.84,25.84,25.668,25.668,1100,25.5376660479,0.0,1.0
2012-05-25,PSJ,25.76,25.76,25.6436,25.6436,1100,25.5133899434,0.0,1.0
2012-05-29,PSJ,25.95,25.95,25.52,25.62,1800,25.4899097767,0.0,1.0
2012-05-30,PSJ,25.34,25.55,25.31,25.4,10600,25.2710268668,0.0,1.0
2012-05-31,PSJ,24.9501,25.19,24.9501,25.19,3200,25.0620931801,0.0,1.0
2012-06-01,PSJ,24.84,24.84,24.597,24.597,5600,24.4721042458,0.0,1.0
2012-06-04,PSJ,24.55,24.561,24.35,24.456,4200,24.331820199,0.0,1.0
2012-06-05,PSJ,24.63,24.83,24.63,24.81,8700,24.6840226994,0.0,1.0
2012-06-06,PSJ,24.96,25.4699,24.96,25.4699,7000,25.3405719368,0.0,1.0
2012-06-07,PSJ,25.6,25.6,25.48,25.48,1700,25.3506206522,0.0,1.0
2012-06-08,PSJ,25.31,25.4008,25.31,25.4008,1400,25.2718228047,0.0,1.0
2012-06-11,PSJ,25.73,25.73,25.01,25.01,700,24.8830071629,0.0,1.0
2012-06-12,PSJ,24.96,25.23,24.96,25.23,3600,25.1018900728,0.0,1.0
2012-06-13,PSJ,25.25,25.25,25.111,25.111,1100,24.983494317,0.0,1.0
2012-06-14,PSJ,25.24,25.37,25.24,25.37,1300,25.2411791973,0.0,1.0
2012-06-15,PSJ,25.4466,25.92,25.43,25.92,74200,25.7883864719,0.0,1.0
2012-06-18,PSJ,25.8297,26.06,25.81,26.04,2000,25.9077771501,0.0,1.0
2012-06-19,PSJ,26.26,26.41,26.26,26.3234,3800,26.1897381349,0.0,1.0
2012-06-20,PSJ,26.38,26.38,25.86,26.2488,5300,26.11551693,0.0,1.0
2012-06-21,PSJ,26.15,26.15,25.511,25.5352,5300,25.4055403641,0.0,1.0
2012-06-22,PSJ,25.6,25.9239,25.491,25.9239,1000,25.792266669,0.0,1.0
2012-06-25,PSJ,25.58,25.58,25.39,25.3968,4000,25.2678431154,0.0,1.0
2012-06-26,PSJ,25.54,25.686,25.54,25.6701,2200,25.5397553848,0.0,1.0
2012-06-27,PSJ,25.8,25.87,25.703,25.7936,5400,25.662628291,0.0,1.0
2012-06-28,PSJ,25.41,25.4201,25.236,25.4201,5400,25.2910248054,0.0,1.0
2012-06-29,PSJ,26.24,26.478,26.22,26.478,4300,26.3435531252,0.0,1.0
2012-07-02,PSJ,26.65,26.65,26.65,26.65,500,26.5146797638,0.0,1.0
2012-07-03,PSJ,26.73,26.96,26.73,26.9582,1700,26.8213148221,0.0,1.0
2012-07-05,PSJ,27.0,27.0299,26.91,27.01,4000,26.8728517981,0.0,1.0
2012-07-06,PSJ,26.4,26.4,26.196,26.257,1800,26.123675293,0.0,1.0
2012-07-09,PSJ,25.96,26.086,25.96,26.068,1400,25.935634975,0.0,1.0
2012-07-10,PSJ,26.2999,26.2999,25.788,25.8895,1000,25.7580413413,0.0,1.0
2012-07-11,PSJ,25.7818,25.7818,25.68,25.769,1600,25.638153202,0.0,1.0
2012-07-12,PSJ,25.63,25.71,25.416,25.71,6100,25.5794527853,0.0,1.0
2012-07-13,PSJ,25.98,26.028,25.9601,26.0,1600,25.8679802574,0.0,1.0
2012-07-16,PSJ,25.7935,25.9201,25.7835,25.9,1300,25.7684880256,0.0,1.0
2012-07-17,PSJ,25.8087,25.8501,25.8087,25.8501,400,25.7188414019,0.0,1.0
2012-07-18,PSJ,25.9,26.34,25.9,26.28,7600,26.1465585063,0.0,1.0
2012-07-19,PSJ,26.28,26.43,26.28,26.3501,13700,26.2163025607,0.0,1.0
2012-07-20,PSJ,26.0701,26.0759,25.96,25.9611,2300,25.8292777792,0.0,1.0
2012-07-23,PSJ,25.5,25.56,25.2701,25.55,2700,25.4202652144,0.0,1.0
2012-07-24,PSJ,25.59,25.59,25.25,25.31,3600,25.1814838582,0.0,1.0
2012-07-25,PSJ,25.61,25.7375,25.59,25.59,5100,25.4600621071,0.0,1.0
2012-07-26,PSJ,25.92,25.97,25.8,25.91,9500,25.7784372488,0.0,1.0
2012-07-27,PSJ,25.99,26.28,25.99,26.26,2200,26.1266600599,0.0,1.0
2012-07-30,PSJ,26.28,26.28,26.038,26.038,1100,25.9057873054,0.0,1.0
2012-07-31,PSJ,26.0,26.17,26.0,26.04,8200,25.9077771501,0.0,1.0
2012-08-01,PSJ,26.17,26.17,25.47,25.47,2500,25.340671429,0.0,1.0
2012-08-02,PSJ,25.79,25.79,25.636,25.71,1300,25.5794527853,0.0,1.0
2012-08-03,PSJ,26.08,26.24,26.08,26.18,2700,26.0470662745,0.0,1.0
2012-08-06,PSJ,26.55,26.55,26.5,26.5,1100,26.3654414161,0.0,1.0
2012-08-07,PSJ,26.63,26.85,26.58,26.77,8100,26.6340704419,0.0,1.0
2012-08-08,PSJ,26.78,26.85,26.67,26.83,11200,26.693765781,0.0,1.0
2012-08-09,PSJ,26.8601,26.9299,26.8601,26.92,21700,26.7833087895,0.0,1.0
2012-08-10,PSJ,26.77,27.01,26.75,27.01,14600,26.8728517981,0.0,1.0
2012-08-13,PSJ,26.94,26.94,26.73,26.8687,3200,26.7322692746,0.0,1.0
2012-08-14,PSJ,26.83,26.83,26.63,26.63,13200,26.4947813174,0.0,1.0
2012-08-15,PSJ,26.62,26.97,26.62,26.96,500,26.8231056822,0.0,1.0
2012-08-16,PSJ,27.01,27.35,27.01,27.2748,5400,27.1363072278,0.0,1.0
2012-08-17,PSJ,27.37,27.45,27.341,27.448,2700,27.3086277732,0.0,1.0
2012-08-20,PSJ,27.45,27.45,27.23,27.2699,3900,27.1314321085,0.0,1.0
2012-08-21,PSJ,27.43,27.5,27.2,27.2548,2300,27.1164087815,0.0,1.0
2012-08-22,PSJ,27.2,27.36,27.17,27.3,5600,27.1613792702,0.0,1.0
2012-08-23,PSJ,27.24,27.3,27.1,27.19,9500,27.0519378153,0.0,1.0
2012-08-24,PSJ,27.17,27.3221,27.17,27.27,1200,27.1315316007,0.0,1.0
2012-08-27,PSJ,27.3101,27.402,27.31,27.3669,3100,27.2279395733,0.0,1.0
2012-08-28,PSJ,27.34,27.5664,27.34,27.516,3400,27.3762824908,0.0,1.0
2012-08-29,PSJ,27.56,27.56,27.56,27.56,500,27.4200590728,0.0,1.0
2012-08-30,PSJ,27.1401,27.24,27.1401,27.21,1800,27.0718362616,0.0,1.0
2012-08-31,PSJ,27.13,27.278,27.05,27.24,3500,27.1016839312,0.0,1.0
2012-09-04,PSJ,27.31,27.6,27.19,27.6,3500,27.4598559655,0.0,1.0
2012-09-05,PSJ,27.62,27.62,27.61,27.61,300,27.4698051887,0.0,1.0
2012-09-06,PSJ,27.83,27.98,27.83,27.92,11200,27.7782311071,0.0,1.0
2012-09-07,PSJ,27.92,27.92,27.72,27.72,2100,27.5792466436,0.0,1.0
2012-09-10,PSJ,27.65,27.702,27.6299,27.702,2500,27.5613380419,0.0,1.0
2012-09-11,PSJ,27.59,27.676,27.59,27.63,1900,27.489703635,0.0,1.0
2012-09-12,PSJ,27.74,27.768,27.672,27.6901,4100,27.5494984663,0.0,1.0
2012-09-13,PSJ,27.75,28.0801,27.75,28.0601,1100,27.9176197238,0.0,1.0
2012-09-14,PSJ,28.18,28.24,28.1288,28.15,2000,28.0070632402,0.0,1.0
2012-09-17,PSJ,27.9,28.069,27.9,28.0,2500,27.8578248925,0.0,1.0
2012-09-18,PSJ,27.841,27.89,27.841,27.89,600,27.7483834376,0.0,1.0
2012-09-19,PSJ,27.95,27.969,27.93,27.95,1800,27.8080787767,0.0,1.0
2012-09-20,PSJ,27.85,27.9048,27.84,27.9048,1800,27.7631082879,0.0,1.0
2012-09-21,PSJ,28.18,28.19,28.0801,28.0801,1000,27.9375181702,0.0,1.0
2012-09-24,PSJ,28.01,28.01,27.878,27.92,3500,27.7782311071,0.0,1.0
2012-09-25,PSJ,28.0,28.0,27.58,27.58,6400,27.4399575191,0.0,1.0
2012-09-26,PSJ,27.62,27.62,27.2301,27.27,3800,27.1315316007,0.0,1.0
2012-09-27,PSJ,27.38,27.71,27.06,27.69,3000,27.5493989741,0.0,1.0
2012-09-28,PSJ,27.6599,27.8376,27.6599,27.74,1800,27.59914509,0.0,1.0
2012-10-01,PSJ,27.62,27.63,27.5687,27.572,14800,27.4319981406,0.0,1.0
2012-10-02,PSJ,27.7132,27.7132,27.576,27.634,1800,27.4936833243,0.0,1.0
2012-10-03,PSJ,27.79,27.821,27.7,27.82,1400,27.6787388754,0.0,1.0
2012-10-04,PSJ,27.67,27.94,27.67,27.94,2200,27.7981295535,0.0,1.0
2012-10-05,PSJ,28.03,28.17,27.846,27.88,11800,27.7384342144,0.0,1.0
2012-10-08,PSJ,27.88,27.88,27.81,27.816,9400,27.6747591861,0.0,1.0
2012-10-09,PSJ,27.79,27.79,27.34,27.344,5000,27.2051558522,0.0,1.0
2012-10-10,PSJ,27.31,27.35,27.216,27.2592,4100,27.1207864397,0.0,1.0
2012-10-11,PSJ,27.48,27.48,27.22,27.274,8000,27.13551129,0.0,1.0
2012-10-12,PSJ,27.27,27.3682,27.26,27.35,2400,27.2111253861,0.0,1.0
2012-10-15,PSJ,27.41,27.558,27.3599,27.54,2900,27.4001606264,0.0,1.0
2012-10-16,PSJ,27.71,27.84,27.71,27.84,1400,27.6986373217,0.0,1.0
2012-10-17,PSJ,27.85,27.85,27.66,27.75,2500,27.6090943131,0.0,1.0
2012-10-18,PSJ,27.62,27.7204,27.552,27.552,2100,27.4120996943,0.0,1.0
2012-10-19,PSJ,27.5,27.5,27.0,27.09,172000,26.9524455835,0.0,1.0
2012-10-22,PSJ,27.0,27.0,26.7601,26.8001,4000,26.6640176037,0.0,1.0
2012-10-23,PSJ,26.67,26.9733,26.5117,26.9733,3200,26.8363381491,0.0,1.0
2012-10-24,PSJ,27.05,27.05,26.82,26.94,11300,26.8032072359,0.0,1.0
2012-10-25,PSJ,27.23,27.23,26.771,26.8768,17100,26.7403281454,0.0,1.0
2012-10-26,PSJ,26.99,27.09,26.74,26.93,25600,26.7932580127,0.0,1.0
2012-10-31,PSJ,26.96,27.056,26.85,27.05,44600,26.9126486908,0.0,1.0
2012-11-01,PSJ,27.16,27.45,27.16,27.45,18100,27.3106176179,0.0,1.0
2012-11-02,PSJ,27.54,27.54,27.0083,27.0083,2000,26.8711604302,0.0,1.0
2012-11-05,PSJ,26.95,27.1399,26.94,27.1283,4400,26.9905511083,0.0,1.0
2012-11-06,PSJ,27.15,27.381,27.15,27.283,13300,27.1444655908,0.0,1.0
2012-11-07,PSJ,27.01,27.01,26.74,26.884,5800,26.7474915861,0.0,1.0
2012-11-08,PSJ,26.72,26.72,26.4,26.441,7900,26.3067409994,0.0,1.0
2012-11-09,PSJ,26.22,26.54,26.13,26.39,7000,26.2559999612,0.0,1.0
2012-11-12,PSJ,26.38,26.44,26.31,26.3407,3300,26.206950291,0.0,1.0
2012-11-13,PSJ,26.11,26.3501,25.6,26.22,17600,26.0868631672,0.0,1.0
2012-11-14,PSJ,26.24,26.26,25.85,25.85,9500,25.7187419097,0.0,1.0
2012-11-15,PSJ,25.85,25.85,25.51,25.712,25200,25.5814426299,0.0,1.0
2012-11-16,PSJ,25.66,26.02,25.55,25.98,29700,25.848081811,0.0,1.0
2012-11-19,PSJ,26.19,26.35,26.07,26.34,5700,26.2062538453,0.0,1.0
2012-11-20,PSJ,26.26,26.26,26.12,26.23,2500,26.0968123904,0.0,1.0
2012-11-21,PSJ,26.29,26.42,26.29,26.4,7000,26.2659491844,0.0,1.0
2012-11-23,PSJ,26.48,26.63,26.48,26.6,1800,26.4649336479,0.0,1.0
2012-11-26,PSJ,26.56,26.58,26.4345,26.57,51300,26.4350859784,0.0,1.0
2012-11-27,PSJ,26.58,26.68,26.501,26.53,1900,26.3952890857,0.0,1.0
2012-11-28,PSJ,26.1799,26.59,26.1799,26.59,7700,26.4549844247,0.0,1.0
2012-11-29,PSJ,26.7,26.774,26.61,26.72,3400,26.584324326,0.0,1.0
2012-11-30,PSJ,26.7199,26.7199,26.5,26.57,3400,26.4350859784,0.0,1.0
2012-12-03,PSJ,26.75,26.75,26.48,26.53,7300,26.3952890857,0.0,1.0
2012-12-04,PSJ,26.52,26.6173,26.48,26.59,11200,26.4549844247,0.0,1.0
2012-12-05,PSJ,26.3301,26.51,26.32,26.5,2100,26.3654414161,0.0,1.0
2012-12-06,PSJ,26.43,26.55,26.43,26.54,6000,26.4052383089,0.0,1.0
2012-12-07,PSJ,26.4699,26.5,26.401,26.48,2800,26.3455429698,0.0,1.0
2012-12-10,PSJ,26.55,26.65,26.471,26.56,4200,26.4251367552,0.0,1.0
2012-12-11,PSJ,26.81,26.9346,26.81,26.868,5500,26.731572829,0.0,1.0
2012-12-12,PSJ,27.0,27.0,26.77,26.77,5000,26.6340704419,0.0,1.0
2012-12-13,PSJ,26.75,26.831,26.46,26.53,3200,26.3952890857,0.0,1.0
2012-12-14,PSJ,26.47,26.56,26.42,26.42,2800,26.2858476307,0.0,1.0
2012-12-17,PSJ,26.62,26.8325,26.56,26.7696,7400,26.633672473,0.0,1.0
2012-12-18,PSJ,27.0,27.3,26.97,27.3,11200,27.1613792702,0.0,1.0
2012-12-19,PSJ,27.32,27.4682,27.32,27.41,7200,27.2708207252,0.0,1.0
2012-12-20,PSJ,27.37,27.5362,27.3,27.49,13600,27.3504145106,0.0,1.0
2012-12-21,PSJ,27.15,27.33,27.15,27.3201,3600,27.1813772088,0.0,1.0
2012-12-24,PSJ,27.21,27.28,27.13,27.28,4100,27.1414808239,0.0,1.0
2012-12-26,PSJ,27.27,27.28,26.95,27.0,28900,26.8629025749,0.0,1.0
2012-12-27,PSJ,26.9701,27.0,26.76,26.99,2400,26.8529533518,0.0,1.0
2012-12-28,PSJ,26.83,27.0001,26.79,26.798,23300,26.6619282668,0.0,1.0
2012-12-31,PSJ,26.84,27.14,26.7972,27.14,10000,27.0021916994,0.0,1.0
2013-01-02,PSJ,27.7699,27.92,27.74,27.92,10100,27.7782311071,0.0,1.0
2013-01-03,PSJ,27.92,28.0,27.72,27.72,1900,27.5792466436,0.0,1.0
2013-01-04,PSJ,27.7199,27.789,27.65,27.762,3900,27.6210333809,0.0,1.0
2013-01-07,PSJ,27.6,27.77,27.6,27.6699,10100,27.5294010355,0.0,1.0
2013-01-08,PSJ,27.634,27.71,27.5562,27.71,1200,27.5692974204,0.0,1.0
2013-01-09,PSJ,27.7201,27.96,27.7201,27.96,13200,27.8180279998,0.0,1.0
2013-01-10,PSJ,28.09,28.09,27.843,27.9999,2700,27.8577254003,0.0,1.0
2013-01-11,PSJ,28.0,28.11,28.0,28.11,4300,27.9672663475,0.0,1.0
2013-01-14,PSJ,28.06,28.2299,28.06,28.12,8300,27.9772155706,0.0,1.0
2013-01-15,PSJ,28.0,28.195,27.95,28.195,5500,28.0518347445,0.0,1.0
2013-01-16,PSJ,28.18,28.2,28.06,28.06,2600,27.9175202316,0.0,1.0
2013-01-17,PSJ,28.19,28.22,28.108,28.184,7000,28.040890599,0.0,1.0
2013-01-18,PSJ,28.16,28.174,28.03,28.144,42300,28.0010937063,0.0,1.0
2013-01-22,PSJ,28.25,28.262,28.1299,28.254,4600,28.1105351612,0.0,1.0
2013-01-23,PSJ,28.36,28.377,28.34,28.34,2600,28.1960984805,0.0,1.0
2013-01-24,PSJ,28.3,28.5499,28.28,28.376,6300,28.2319156839,0.0,1.0
2013-01-25,PSJ,28.47,28.72,28.47,28.66,5400,28.5144736221,0.0,1.0
2013-01-28,PSJ,28.78,28.8099,28.67,28.7397,4200,28.5937689309,0.0,1.0
2013-01-29,PSJ,28.57,28.57,28.39,28.4632,7100,28.31867291,0.0,1.0
2013-01-30,PSJ,28.63,28.6507,28.4601,28.4601,4000,28.3155886509,0.0,1.0
2013-01-31,PSJ,28.462,28.534,28.452,28.53,2300,28.3851337209,0.0,1.0
2013-02-01,PSJ,28.69,28.79,28.6501,28.69,9500,28.5443212917,0.0,1.0
2013-02-04,PSJ,28.51,28.59,28.2236,28.316,11800,28.1722203449,0.0,1.0
2013-02-05,PSJ,28.41,28.4199,28.3301,28.3968,28800,28.2526100682,0.0,1.0
2013-02-06,PSJ,28.4,28.4554,28.4,28.44,10000,28.2955907123,0.0,1.0
2013-02-07,PSJ,28.41,28.41,28.2595,28.35,3700,28.2060477037,0.0,1.0
2013-02-08,PSJ,28.49,29.5,27.93,28.5901,71300,28.4449285521,0.0,1.0
2013-02-11,PSJ,28.45,28.55,28.45,28.55,2600,28.4050321672,0.0,1.0
2013-02-12,PSJ,28.6,28.75,28.6,28.7432,6200,28.597251159,0.0,1.0
2013-02-13,PSJ,28.73,28.787,28.6,28.64,4300,28.4945751758,0.0,1.0
