date,symbol,open,high,low,close,volume,adjusted,divd,split
2002-07-26,TLT,82.67,82.8,82.42,82.51,316300,42.9861638033,0.0,1.0
2002-07-29,TLT,82.06,82.16,81.32,81.42,8400,42.4182942293,0.0,1.0
2002-07-30,TLT,81.75,81.9,81.52,81.52,6100,42.4703923554,0.0,1.0
2002-07-31,TLT,81.95,82.8,81.9,82.53,29400,42.9965834285,0.0,1.0
2002-08-01,TLT,82.54,83.02,82.54,83.0,25000,43.2414446209,0.0,1.0
2002-08-02,TLT,83.16,84.1,82.88,83.85,52800,43.6842786923,0.0,1.0
2002-08-05,TLT,84.04,84.44,83.85,84.22,61100,43.8770417587,0.0,1.0
2002-08-06,TLT,83.8,83.9,83.22,83.5,64900,43.5019352512,0.0,1.0
2002-08-07,TLT,83.6,84.14,83.36,83.7,40300,43.6061315033,0.0,1.0
2002-08-08,TLT,83.58,83.77,83.36,83.7,40900,43.6061315033,0.0,1.0
2002-08-09,TLT,84.0,84.88,84.0,84.88,35900,44.2208893906,0.0,1.0
2002-08-12,TLT,85.3,86.7,85.14,85.4,32100,44.4917996461,0.0,1.0
2002-08-13,TLT,85.78,86.47,85.37,86.45,75400,45.0388299696,0.0,1.0
2002-08-14,TLT,87.46,87.9,86.75,86.78,130000,45.2107537856,0.0,1.0
2002-08-15,TLT,86.38,86.5,85.85,86.02,87100,44.8148080276,0.0,1.0
2002-08-16,TLT,86.44,86.52,84.82,85.06,85000,44.3146660175,0.0,1.0
2002-08-19,TLT,85.05,85.34,84.71,85.32,47300,44.4501211453,0.0,1.0
2002-08-20,TLT,85.62,86.29,85.6,86.27,40800,44.9450533427,0.0,1.0
2002-08-21,TLT,85.68,86.1,85.63,85.81,40000,44.7054019629,0.0,1.0
2002-08-22,TLT,85.55,85.55,85.06,85.06,34400,44.3146660175,0.0,1.0
2002-08-23,TLT,85.2,85.95,85.2,85.9,20100,44.7522902763,0.0,1.0
2002-08-26,TLT,85.7,86.21,85.67,85.98,23900,44.7939687772,0.0,1.0
2002-08-27,TLT,85.4,85.68,85.2,85.44,301800,44.5126388965,0.0,1.0
2002-08-28,TLT,86.04,86.18,85.84,85.87,18100,44.7366608385,0.0,1.0
2002-08-29,TLT,86.76,86.86,86.35,86.56,135700,45.0961379083,0.0,1.0
2002-08-30,TLT,86.75,87.13,86.45,87.08,78100,45.3670481637,0.0,1.0
2002-09-03,TLT,87.08,88.04,87.0,88.04,102100,46.0613077915,0.3726,1.0
2002-09-04,TLT,88.03,88.3,87.84,88.02,66300,46.0508440687,0.0,1.0
2002-09-05,TLT,88.57,88.65,87.38,88.5,648400,46.301973416,0.0,1.0
2002-09-06,TLT,87.97,88.19,87.2,87.46,140000,45.7578598301,0.0,1.0
2002-09-09,TLT,87.5,87.83,87.26,87.33,83800,45.6898456319,0.0,1.0
2002-09-10,TLT,87.17,88.0,87.0,87.75,336000,45.9095838108,0.0,1.0
2002-09-11,TLT,87.0,87.3,86.75,87.29,177700,45.6689181862,0.0,1.0
2002-09-12,TLT,87.48,88.14,87.47,87.97,43400,46.0246847616,0.0,1.0
2002-09-13,TLT,88.33,88.94,88.18,88.78,155100,46.4484655353,0.0,1.0
2002-09-16,TLT,89.2,89.22,88.9,88.93,73000,46.5269434563,0.0,1.0
