date,symbol,open,high,low,close,volume,adjusted,divd,split
2004-01-30,VGT,48.74,49.24,48.74,49.08,117600,41.9692246688,0.0,1.0
2004-02-02,VGT,49.1,49.12,48.84,49.12,65400,42.0034294159,0.0,1.0
2004-02-03,VGT,48.8,48.82,48.62,48.82,231100,41.7468938128,0.0,1.0
2004-02-04,VGT,47.5,47.5,47.35,47.35,51000,40.4898693576,0.0,1.0
2004-02-05,VGT,47.7,47.7,47.35,47.59,2600,40.69509784,0.0,1.0
2004-02-06,VGT,47.9,48.55,47.9,48.55,1000,41.51601177,0.0,1.0
2004-02-09,VGT,48.64,48.79,48.42,48.5,3200,41.4732558361,0.0,1.0
2004-02-10,VGT,48.82,48.82,48.65,48.65,200,41.6015236377,0.0,1.0
2004-02-11,VGT,48.62,49.16,48.62,49.05,176400,41.9435711085,0.0,1.0
2004-02-12,VGT,49.0,49.0,48.85,48.85,300,41.7725473731,0.0,1.0
2004-02-13,VGT,49.03,49.03,48.2,48.2,1800,41.216720233,0.0,1.0
2004-02-17,VGT,48.64,48.94,48.64,48.94,500,41.849508054,0.0,1.0
2004-02-18,VGT,48.87,48.87,48.69,48.69,200,41.6357283848,0.0,1.0
2004-02-19,VGT,48.69,48.69,48.69,48.69,0,41.6357283848,0.0,1.0
2004-02-20,VGT,48.1,48.1,47.47,47.74,2400,40.8233656416,0.0,1.0
2004-02-23,VGT,48.0,48.0,46.73,46.73,1300,39.9596957778,0.0,1.0
2004-02-24,VGT,46.9,47.0,46.9,47.0,700,40.1905778206,0.0,1.0
2004-02-25,VGT,47.24,47.24,47.2,47.2,3000,40.361601556,0.0,1.0
2004-02-26,VGT,47.2,47.2,47.2,47.2,100,40.361601556,0.0,1.0
2004-02-27,VGT,47.24,47.25,47.24,47.25,600,40.4043574898,0.0,1.0
2004-03-01,VGT,47.8,47.8,47.8,47.8,1000,40.8746727622,0.0,1.0
2004-03-02,VGT,48.0,48.18,47.7,47.7,3000,40.7891608945,0.0,1.0
2004-03-03,VGT,47.09,47.25,47.09,47.25,6500,40.4043574898,0.0,1.0
2004-03-04,VGT,47.53,47.53,47.53,47.53,100,40.6437907194,0.0,1.0
2004-03-05,VGT,47.35,47.85,47.23,47.65,62400,40.7464049607,0.0,1.0
2004-03-08,VGT,47.65,47.65,47.25,47.36,2400,40.4984205443,0.0,1.0
2004-03-09,VGT,46.16,46.24,45.59,46.01,80700,39.3440103303,0.0,1.0
2004-03-10,VGT,46.05,46.05,45.31,45.31,4000,38.7454272564,0.0,1.0
2004-03-11,VGT,45.37,45.37,44.82,44.82,4000,38.3264191047,0.0,1.0
