date,symbol,open,high,low,close,volume,adjusted,divd,split
2000-01-03,XLV,31.0,31.0,30.06,30.3,246700,22.1076899043,0.0,1.0
2000-01-04,XLV,30.19,30.2,29.53,29.61,35300,21.6042474609,0.0,1.0
2000-01-05,XLV,29.78,29.78,29.22,29.53,137600,21.5458773226,0.0,1.0
2000-01-06,XLV,29.31,29.56,29.16,29.44,50000,21.4802109169,0.0,1.0
2000-01-07,XLV,29.47,29.8,29.36,29.8,22100,21.7428765395,0.0,1.0
2000-01-10,XLV,32.25,32.94,31.63,32.84,31800,23.9609417973,0.0,1.0
2000-01-11,XLV,32.53,32.53,31.97,31.97,17900,23.3261665426,0.0,1.0
2000-01-12,XLV,32.22,32.22,31.31,31.44,12400,22.9394643759,0.0,1.0
2000-01-13,XLV,31.72,32.44,31.59,32.38,600000,23.6253135017,0.0,1.0
2000-01-14,XLV,32.59,32.59,31.91,32.09,23600,23.4137217501,0.0,1.0
2000-01-18,XLV,31.88,31.88,31.47,31.5,417300,22.9832419797,0.0,1.0
2000-01-19,XLV,31.59,32.25,31.5,32.25,10400,23.5304620268,0.0,1.0
2000-01-20,XLV,32.41,32.5,31.88,32.0,64200,23.3480553445,0.0,1.0
2000-01-21,XLV,31.88,32.05,31.69,31.94,37300,23.3042777407,0.0,1.0
2000-01-24,XLV,32.03,32.19,30.98,30.98,72100,22.6038360804,0.0,1.0
2000-01-25,XLV,31.25,31.44,31.0,31.2,24400,22.7643539609,0.0,1.0
2000-01-26,XLV,31.19,31.3,31.0,31.06,10500,22.6622062187,0.0,1.0
2000-01-27,XLV,31.2,31.39,30.88,30.88,10700,22.5308734074,0.0,1.0
2000-01-28,XLV,30.94,31.03,30.25,30.25,18100,22.0712085678,0.0,1.0
2000-01-31,XLV,30.38,30.38,29.86,30.11,27500,21.9690608257,0.0,1.0
2000-02-01,XLV,30.22,30.53,30.16,30.5,161600,22.2536152502,0.0,1.0
2000-02-02,XLV,30.72,31.25,30.72,31.25,7700,22.8008352973,0.0,1.0
2000-02-03,XLV,31.2,31.61,31.02,31.53,31500,23.0051307816,0.0,1.0
2000-02-04,XLV,31.73,31.81,31.56,31.64,11300,23.0853897218,0.0,1.0
2000-02-07,XLV,31.63,31.63,30.98,31.13,36400,22.7132800898,0.0,1.0
2000-02-08,XLV,31.19,31.53,31.19,31.47,265000,22.9613531778,0.0,1.0
2000-02-09,XLV,31.44,31.44,30.77,30.91,19000,22.5527622093,0.0,1.0
2000-02-10,XLV,30.88,31.06,30.63,30.64,5000,22.3557629923,0.0,1.0
2000-02-11,XLV,30.64,30.88,30.58,30.66,9200,22.3703555269,0.0,1.0
2000-02-14,XLV,30.31,30.47,29.91,30.09,14900,21.9544682911,0.0,1.0
2000-02-15,XLV,30.03,30.03,29.63,29.86,23100,21.7866541433,0.0,1.0
2000-02-16,XLV,29.63,29.75,29.0,29.02,35000,21.1737676905,0.0,1.0
2000-02-17,XLV,29.16,29.3,28.88,29.0,15300,21.1591751559,0.0,1.0
2000-02-18,XLV,28.94,28.98,28.2,28.2,109900,20.5754737723,0.0,1.0
2000-02-22,XLV,28.45,28.45,27.84,28.0,35300,20.4295484264,0.0,1.0
2000-02-23,XLV,27.94,28.63,27.94,28.44,17500,20.7505841874,0.0,1.0
2000-02-24,XLV,28.47,28.59,27.75,28.22,172800,20.5900663069,0.0,1.0
2000-02-25,XLV,28.16,28.19,27.0,27.34,21200,19.9479947849,0.0,1.0
2000-02-28,XLV,27.47,27.83,27.28,27.83,103600,20.3055118824,0.0,1.0
2000-02-29,XLV,27.94,28.36,27.83,28.14,15500,20.5316961685,0.0,1.0
2000-03-01,XLV,28.27,28.53,28.03,28.38,26700,20.7068065836,0.0,1.0
2000-03-02,XLV,28.34,28.44,28.16,28.25,47600,20.6119551088,0.0,1.0
2000-03-03,XLV,28.47,28.7,28.34,28.64,372700,20.8965095333,0.0,1.0
2000-03-06,XLV,28.45,28.61,28.08,28.08,316300,20.4879185648,0.0,1.0
2000-03-07,XLV,28.09,28.25,27.5,27.56,635200,20.1085126654,0.0,1.0
2000-03-08,XLV,27.31,27.69,27.31,27.42,184000,20.0063649233,0.0,1.0
2000-03-09,XLV,27.47,28.16,27.38,28.06,15400,20.4733260302,0.0,1.0
2000-03-10,XLV,28.0,28.2,27.81,27.83,165300,20.3055118824,0.0,1.0
2000-03-13,XLV,27.22,27.84,27.22,27.63,64200,20.1595865365,0.0,1.0
2000-03-14,XLV,27.81,28.09,27.7,27.7,36200,20.2106604076,0.0,1.0
2000-03-15,XLV,27.84,28.06,27.56,27.84,42200,20.3128081497,0.0,1.0
2000-03-16,XLV,28.13,29.28,28.13,29.28,168500,21.3634706402,0.0,1.0
2000-03-17,XLV,29.16,29.59,29.06,29.31,62000,21.3853594421,0.0,1.0
2000-03-20,XLV,29.81,30.0,29.7,29.88,8200,21.8012466779,0.0,1.0
2000-03-21,XLV,30.0,30.13,29.72,30.06,18100,21.9325794892,0.0,1.0
2000-03-22,XLV,30.31,31.05,30.31,30.83,29900,22.4943920709,0.0,1.0
2000-03-23,XLV,30.63,31.16,30.63,30.95,24900,22.5819472785,0.0,1.0
2000-03-24,XLV,31.0,31.36,31.0,31.22,9200,22.7789464954,0.0,1.0
2000-03-27,XLV,31.05,31.36,31.0,31.0,14400,22.618428615,0.0,1.0
2000-03-28,XLV,31.0,31.17,30.88,31.03,13700,22.6403174168,0.0,1.0
2000-03-29,XLV,30.78,30.83,30.41,30.56,6800,22.297392854,0.0,1.0
2000-03-30,XLV,30.5,30.63,29.98,30.13,14000,21.9836533603,0.0,1.0
2000-03-31,XLV,30.34,30.67,30.06,30.67,14400,22.3776517942,0.0,1.0
2000-04-03,XLV,30.92,30.92,30.66,30.66,11200,22.3703555269,0.0,1.0
2000-04-04,XLV,30.83,31.13,29.44,30.31,7600,22.1149861716,0.0,1.0
2000-04-05,XLV,30.0,30.34,29.92,30.11,7100,21.9690608257,0.0,1.0
2000-04-06,XLV,30.28,30.84,30.28,30.69,29000,22.3922443288,0.0,1.0
2000-04-07,XLV,30.81,30.91,30.55,30.77,6000,22.4506144672,0.0,1.0
2000-04-10,XLV,30.81,30.86,30.56,30.56,16000,22.297392854,0.0,1.0
2000-04-11,XLV,30.5,30.83,30.48,30.83,10100,22.4943920709,0.0,1.0
2000-04-12,XLV,30.88,30.94,30.27,30.27,13100,22.0858011024,0.0,1.0
2000-04-13,XLV,30.02,30.06,29.38,29.5,17500,21.5239885207,0.0,1.0
2000-04-14,XLV,28.47,28.59,27.72,27.72,9800,20.2252529421,0.0,1.0
2000-04-17,XLV,27.78,28.06,27.14,27.95,16900,20.3930670899,0.0,1.0
2000-04-18,XLV,27.89,28.72,27.89,28.72,50900,20.9548796717,0.0,1.0
2000-04-19,XLV,29.19,29.5,29.09,29.47,7200,21.5020997188,0.0,1.0
2000-04-20,XLV,29.47,29.59,29.25,29.59,4000,21.5896549263,0.0,1.0
2000-04-24,XLV,29.0,29.31,28.88,29.17,18000,21.2832116999,0.0,1.0
